person_id,trajectory,duration_frames,shadow_segments,avg_shadow_proportion
44,"[(1712, 14010649.78239215, 7980283.36037312, False), (1714, 14010649.8249521, 7980283.43944642, False), (1716, 14010649.84190384, 7980283.92160445, False), (1718, 14010649.82147498, 7980284.37601953, False), (1720, 14010649.75031574, 7980284.93678598, False), (1722, 14010649.66195396, 7980285.53438012, False), (1724, 14010649.56873669, 7980286.14315154, False), (1726, 14010649.47638328, 7980286.75106511, False), (1728, 14010649.38661425, 7980287.35422531, False), (1730, 14010649.32956207, 7980287.76942985, False), (1732, 14010649.29302901, 7980288.22743248, False), (1734, 14010649.26352848, 7980288.71886541, False), (1736, 14010649.23451442, 7980289.22923272, False), (1738, 14010649.20060501, 7980289.72244367, False), (1740, 14010649.20342048, 7980290.25968834, False), (1742, 14010649.2351309, 7980290.94327009, False), (1744, 14010649.28954102, 7980291.46500162, False), (1746, 14010649.3240048, 7980292.07724202, False), (1748, 14010649.34593128, 7980292.61413006, False), (1750, 14010649.33743711, 7980293.06796825, False), (1752, 14010649.22788097, 7980293.59604159, False), (1754, 14010649.07499332, 7980294.1661608, False), (1756, 14010648.8985741, 7980294.66164689, False), (1758, 14010648.69913965, 7980295.07848326, False), (1760, 14010648.48667986, 7980295.44067669, False), (1762, 14010648.3016062, 7980295.89845448, False), (1764, 14010648.09059402, 7980296.33674363, False), (1766, 14010647.91356206, 7980296.72963117, False), (1768, 14010647.80468384, 7980297.23245439, False), (1770, 14010647.7346731, 7980297.71082753, False), (1772, 14010647.70301372, 7980298.26414271, False), (1774, 14010647.72261267, 7980298.81363675, False), (1776, 14010647.76948167, 7980299.35474799, False), (1778, 14010647.82410757, 7980299.94370493, False), (1780, 14010647.87262904, 7980300.47203829, False), (1782, 14010647.92399872, 7980300.96851437, False), (1784, 14010647.92610107, 7980301.38739179, False), (1786, 14010648.04036772, 7980301.97212115, False), (1788, 14010648.18731169, 7980302.65353941, False), (1790, 14010648.25953494, 7980303.31342335, False), (1792, 14010648.28736172, 7980303.8313102, False), (1794, 14010648.31788305, 7980304.38452522, False), (1796, 14010648.37994156, 7980304.79165375, False), (1798, 14010648.45966108, 7980305.47642839, False), (1800, 14010648.59236287, 7980306.14951777, False), (1802, 14010648.71247054, 7980306.7903745, False), (1804, 14010648.8329533, 7980307.40226451, False), (1806, 14010648.94832008, 7980308.01411732, False), (1808, 14010649.00832896, 7980308.59365985, False), (1810, 14010649.07532434, 7980309.16850923, False), (1812, 14010649.12719238, 7980309.73473813, False), (1814, 14010649.13402481, 7980310.27263974, False), (1816, 14010649.0798296, 7980310.79620985, False), (1818, 14010649.0288153, 7980311.31502097, False), (1820, 14010648.96402112, 7980311.79486205, False), (1822, 14010648.86271549, 7980312.40888407, False), (1824, 14010648.79615352, 7980312.84168898, False), (1826, 14010648.75057342, 7980313.3667729, False), (1828, 14010648.67716141, 7980314.09277125, False), (1830, 14010648.64602507, 7980314.57255584, False)]",118,"[(False, 60)]",0.0623819499999999
61,"[(1414, 14010652.67870156, 7980314.93151475, False), (1416, 14010652.69162003, 7980314.53593794, False), (1418, 14010652.6679658, 7980313.98751707, False), (1420, 14010652.55429585, 7980313.56639823, False), (1422, 14010652.45005183, 7980313.0719186, False), (1424, 14010652.34500526, 7980312.47576819, False), (1426, 14010652.23604007, 7980311.88425635, False), (1428, 14010652.12058275, 7980311.36519803, False), (1430, 14010652.8187198, 7980309.02121072, False), (1432, 14010652.56333297, 7980308.81848616, False), (1434, 14010652.18901949, 7980308.91665109, False), (1436, 14010651.84829448, 7980309.03018681, False), (1438, 14010651.60965135, 7980308.95510763, False), (1440, 14010651.50395893, 7980308.5255347, False), (1442, 14010651.4217647, 7980308.07468413, False), (1444, 14010651.37848951, 7980307.58971526, False), (1446, 14010651.32954586, 7980307.16043201, False), (1448, 14010651.30656244, 7980306.61732822, False), (1450, 14010651.28312888, 7980306.17972801, False), (1452, 14010651.27003987, 7980305.80709315, False), (1454, 14010651.23022918, 7980305.32030893, False), (1456, 14010651.21331312, 7980304.80010765, False), (1458, 14010651.16042851, 7980304.41581769, False), (1460, 14010651.12840214, 7980303.91801618, False), (1462, 14010651.1197667, 7980303.41507402, False), (1464, 14010651.10884611, 7980302.94635312, False), (1466, 14010651.11971878, 7980302.51598425, False), (1468, 14010651.10159804, 7980302.10899198, False), (1470, 14010651.12382319, 7980301.7050097, False), (1472, 14010651.10022615, 7980301.13694251, False), (1474, 14010651.07646485, 7980300.53093711, False), (1476, 14010651.05487433, 7980299.9191322, False), (1478, 14010650.96782612, 7980299.54367059, False), (1480, 14010650.87717193, 7980299.15971796, False), (1482, 14010650.77878606, 7980298.73456471, False), (1484, 14010650.67777244, 7980298.27373353, False), (1486, 14010650.59282296, 7980297.64077701, False), (1488, 14010650.50708455, 7980297.07615259, False), (1490, 14010650.43234845, 7980296.47587434, False), (1492, 14010650.40361986, 7980295.90697749, False), (1494, 14010650.38035831, 7980295.41881031, False), (1496, 14010650.39155889, 7980294.91312385, False), (1498, 14010650.43536285, 7980294.51101428, False), (1500, 14010650.50601906, 7980294.06718308, False), (1502, 14010650.57450002, 7980293.56799672, False), (1504, 14010650.62733397, 7980293.01285118, False), (1506, 14010650.66759699, 7980292.53096364, False), (1508, 14010650.70295424, 7980292.08110888, False), (1510, 14010650.72574917, 7980291.61624184, False), (1512, 14010650.73190511, 7980291.11201243, False), (1514, 14010650.7566443, 7980290.61960789, False), (1516, 14010650.77257764, 7980289.96119705, False), (1518, 14010650.79939724, 7980289.50644868, False), (1520, 14010650.86299237, 7980289.06829765, False), (1522, 14010650.92402949, 7980288.44266503, False), (1524, 14010650.94388339, 7980287.93620726, False), (1526, 14010650.9495224, 7980287.34893058, False), (1528, 14010650.90478637, 7980286.77946532, False), (1530, 14010650.87156424, 7980286.11368558, False), (1532, 14010650.86222256, 7980285.41428232, False)]",118,"[(False, 60)]",0.05084005
88,"[(2066, 14010650.21747137, 7980314.68093938, False), (2068, 14010650.06304808, 7980314.37221475, False), (2070, 14010649.95287612, 7980313.97009093, False), (2072, 14010649.80775482, 7980313.45922475, False), (2074, 14010649.64023094, 7980312.98544099, False), (2076, 14010649.50415735, 7980312.47158956, False), (2078, 14010649.47202039, 7980311.65404221, False), (2080, 14010649.34507513, 7980311.1185295, False), (2082, 14010649.21694681, 7980310.6152958, False), (2084, 14010649.1436335, 7980310.0898393, False), (2086, 14010648.99065847, 7980309.55193825, False), (2088, 14010648.8231096, 7980308.95164176, False), (2090, 14010648.68932698, 7980308.36764764, False), (2092, 14010648.56788735, 7980307.70179904, False), (2094, 14010648.45559818, 7980307.05075414, False), (2096, 14010648.46724257, 7980305.77452215, False), (2098, 14010648.38037302, 7980304.55344497, False)]",32,"[(False, 17)]",0.08421839
93,"[(1602, 14010651.35744187, 7980314.72494609, False), (1604, 14010651.75246382, 7980313.2026742, False), (1606, 14010651.50576571, 7980312.93198802, False), (1608, 14010651.22122624, 7980312.77512963, False), (1610, 14010651.01141303, 7980312.42284384, False), (1612, 14010650.88336299, 7980311.92329281, False), (1614, 14010650.7777841, 7980311.47662165, False), (1616, 14010650.73016185, 7980310.84326603, False), (1618, 14010650.64329789, 7980310.33824007, False), (1620, 14010650.56373478, 7980309.86344095, False), (1622, 14010650.49948643, 7980309.36445894, False), (1624, 14010650.45454493, 7980308.81075876, False), (1626, 14010650.42662522, 7980308.25641156, False), (1628, 14010650.4306531, 7980307.5951878, False), (1630, 14010650.39803286, 7980307.05283906, False), (1632, 14010650.3695439, 7980306.50121365, False), (1634, 14010650.35808322, 7980305.9359724, False), (1636, 14010650.33675845, 7980305.37066123, False), (1638, 14010650.2964482, 7980304.87186011, False), (1640, 14010650.24842336, 7980304.34159157, False), (1642, 14010650.2277194, 7980303.86230939, False), (1644, 14010650.22287606, 7980303.34111153, False), (1646, 14010650.23010928, 7980302.8451735, False), (1648, 14010650.24982997, 7980302.35946062, False), (1650, 14010650.27389324, 7980301.86425312, False), (1652, 14010650.30762591, 7980301.36074117, False), (1654, 14010650.36101993, 7980300.92654881, False), (1656, 14010650.42614071, 7980300.45032056, False), (1658, 14010650.49610754, 7980299.93659282, False), (1660, 14010650.56808098, 7980299.3923423, False), (1662, 14010650.63174071, 7980298.80937348, False), (1664, 14010650.68248915, 7980298.18227035, False), (1666, 14010650.71099156, 7980297.66694131, False), (1668, 14010650.71042316, 7980297.1703934, False), (1670, 14010650.7485571, 7980296.55441031, False), (1672, 14010650.75843195, 7980295.97485458, False), (1674, 14010650.79077607, 7980295.36207774, False), (1676, 14010650.78312907, 7980294.84216864, False), (1678, 14010650.77799639, 7980294.39183959, False), (1680, 14010650.78120649, 7980293.85988971, False), (1682, 14010650.82878963, 7980293.2179756, False), (1684, 14010650.82511683, 7980292.73912593, False), (1686, 14010650.84601987, 7980292.30426806, False), (1688, 14010650.84528075, 7980291.81670867, False), (1690, 14010650.88191955, 7980291.36590378, False), (1692, 14010650.91346293, 7980290.88479245, False), (1694, 14010650.95886052, 7980290.27681235, False), (1696, 14010651.00518844, 7980289.72160899, False), (1698, 14010651.04526252, 7980289.31943761, False), (1700, 14010651.1011046, 7980288.87589366, False), (1702, 14010651.19780201, 7980288.30451411, False), (1704, 14010651.27420239, 7980287.88777188, False), (1706, 14010651.35302752, 7980287.26466788, False), (1708, 14010651.3718645, 7980286.88440137, False), (1710, 14010651.41262745, 7980286.23216341, False)]",108,"[(False, 55)]",0.0604932754545454
94,"[(1622, 14010646.17099385, 7980301.27693902, False), (1624, 14010646.1555611, 7980301.704013, False), (1626, 14010646.22630817, 7980302.28195307, False), (1628, 14010646.25910558, 7980302.81319393, False), (1630, 14010646.29777627, 7980303.23236423, False), (1632, 14010646.34600249, 7980303.74861264, False), (1634, 14010646.37189801, 7980304.35336427, False), (1636, 14010646.39016747, 7980304.93635927, False), (1638, 14010646.44821643, 7980305.52409648, False), (1640, 14010646.52434243, 7980306.16646465, False), (1642, 14010646.56682907, 7980306.7393191, False), (1644, 14010646.60301305, 7980307.30233639, False), (1646, 14010646.63204354, 7980307.80867665, False), (1648, 14010646.6662346, 7980308.34304793, False), (1650, 14010646.7096275, 7980308.88103114, False), (1652, 14010646.75238855, 7980309.42590145, False), (1654, 14010646.77551775, 7980309.91410483, False), (1656, 14010646.78005187, 7980310.4743088, False), (1658, 14010646.79219114, 7980310.89728016, False), (1660, 14010646.78951208, 7980311.51093839, False), (1662, 14010646.73825364, 7980312.07085237, False), (1664, 14010646.71622001, 7980312.64533098, False), (1666, 14010646.69393405, 7980313.30456389, False), (1668, 14010646.70445876, 7980313.77704312, False), (1670, 14010646.70916703, 7980314.38487859, False)]",48,"[(False, 25)]",0.06238195
102,"[(1468, 14010645.37417294, 7980314.99012879, False), (1470, 14010645.39393196, 7980314.62527261, False), (1472, 14010645.44214713, 7980314.19418982, False), (1474, 14010645.49566744, 7980313.70960734, False), (1476, 14010645.55907071, 7980313.24401251, False), (1478, 14010645.6309864, 7980312.67788608, False), (1480, 14010645.71656939, 7980312.17025873, False), (1482, 14010645.83232308, 7980311.59512466, False), (1484, 14010645.91921627, 7980311.15539441, False), (1486, 14010645.95635989, 7980310.69978173, False), (1488, 14010645.96646314, 7980310.34513055, False), (1490, 14010645.98402057, 7980309.94100874, False), (1492, 14010646.01058648, 7980309.56552749, False), (1494, 14010646.06284134, 7980309.15412296, False), (1496, 14010646.11430775, 7980308.69683236, False), (1498, 14010646.17532849, 7980308.18200332, False), (1500, 14010646.22335127, 7980307.73280441, False), (1502, 14010646.22381013, 7980307.20720406, False), (1504, 14010646.17750439, 7980306.70367772, False), (1506, 14010646.16386185, 7980305.58118393, False), (1508, 14010646.18485661, 7980304.61081547, False), (1510, 14010646.14468616, 7980304.29726101, False), (1512, 14010646.07412371, 7980304.29521105, False), (1514, 14010645.99310924, 7980304.39120874, False), (1516, 14010645.94358722, 7980304.21394259, False), (1518, 14010645.91901557, 7980303.75034193, False)]",50,"[(False, 26)]",0.0508400499999999
112,"[(1354, 14010649.02627007, 7980296.87586868, False), (1356, 14010649.0874923, 7980296.95715778, False), (1358, 14010649.10757392, 7980297.30620039, False), (1360, 14010649.09891507, 7980297.82920563, False), (1362, 14010649.07403623, 7980298.43643197, False), (1364, 14010649.0645113, 7980298.85742386, False), (1366, 14010649.05274285, 7980299.24732184, False), (1368, 14010649.03127782, 7980299.81610375, False), (1370, 14010649.02421921, 7980300.21178014, False), (1372, 14010649.03480466, 7980300.655462, False), (1374, 14010649.03347006, 7980301.09541779, False), (1376, 14010649.080968, 7980301.58931271, False), (1378, 14010649.16725251, 7980301.99963424, False), (1380, 14010649.27513369, 7980302.31469972, False), (1382, 14010649.39306947, 7980302.87361135, False), (1384, 14010649.47496261, 7980303.38714444, False), (1386, 14010649.53628638, 7980303.85554193, False), (1388, 14010649.58671483, 7980304.38757105, False), (1390, 14010649.64884365, 7980304.95029483, False), (1392, 14010649.67003596, 7980305.41194377, False), (1394, 14010649.72340182, 7980305.99786554, False), (1396, 14010649.76212673, 7980306.59186891, False), (1398, 14010649.81350189, 7980306.94430429, False), (1400, 14010649.81312712, 7980307.35869496, False), (1402, 14010649.80333076, 7980307.81643195, False), (1404, 14010649.8489006, 7980308.08382097, False), (1406, 14010650.04217323, 7980307.77851668, False), (1408, 14010650.00467183, 7980308.28018091, False), (1410, 14010649.88735309, 7980309.12916179, False), (1412, 14010649.78493061, 7980310.01712293, False), (1414, 14010649.71348018, 7980310.73534287, False), (1416, 14010649.66269874, 7980311.32712826, False), (1418, 14010649.62052222, 7980311.93409162, False), (1420, 14010649.59778478, 7980312.38055967, False), (1422, 14010649.58846882, 7980312.74975487, False), (1424, 14010649.58495142, 7980313.23098691, False), (1426, 14010649.61481153, 7980313.52254363, False), (1428, 14010649.60396972, 7980313.96474561, False), (1430, 14010649.64207666, 7980314.46069102, False), (1432, 14010649.68539909, 7980314.9910633, False)]",78,"[(False, 40)]",0.05084005
114,"[(1342, 14010647.3014663, 7980302.4051371, False), (1344, 14010647.30704883, 7980302.48367616, False), (1346, 14010647.29569849, 7980302.87255416, False), (1348, 14010647.28252541, 7980303.29589106, False), (1350, 14010647.30162101, 7980303.83484972, False), (1352, 14010647.3468841, 7980304.27563796, False), (1354, 14010647.35630426, 7980304.70382503, False), (1356, 14010647.34247764, 7980305.15413999, False), (1358, 14010647.3527954, 7980305.63552243, False), (1360, 14010647.30961675, 7980306.13012812, False), (1362, 14010647.23648382, 7980306.53393004, False), (1364, 14010647.15376235, 7980307.02443049, False), (1366, 14010647.11682202, 7980307.41393621, False), (1368, 14010647.08054362, 7980307.79077697, False), (1370, 14010647.10392801, 7980308.08511455, False), (1372, 14010647.15183906, 7980308.40164397, False), (1374, 14010647.18331907, 7980308.71015756, False), (1376, 14010647.23583532, 7980308.95227812, False), (1378, 14010647.28509402, 7980309.1819409, False), (1380, 14010647.3133831, 7980309.36617768, False), (1382, 14010647.27155493, 7980309.75133258, False), (1384, 14010647.26253548, 7980310.16445119, False), (1386, 14010647.25801795, 7980310.52990222, False), (1388, 14010647.22380447, 7980311.04135574, False), (1390, 14010647.20730169, 7980311.50791879, False), (1392, 14010647.23887566, 7980312.01906408, False), (1394, 14010647.28512881, 7980312.48441407, False), (1396, 14010647.317319, 7980312.95343903, False), (1398, 14010647.41478864, 7980313.31918867, False), (1400, 14010647.51883771, 7980313.63331199, False), (1402, 14010647.57441072, 7980314.05608421, False), (1404, 14010647.61766108, 7980314.38683672, False), (1406, 14010647.54902683, 7980314.76947722, False)]",64,"[(False, 33)]",0.05084005
117,"[(1278, 14010651.57910826, 7980314.62854451, False), (1280, 14010651.5090065, 7980314.14673655, False), (1282, 14010651.7890291, 7980312.95454098, False), (1284, 14010651.93016249, 7980311.87556293, False), (1286, 14010651.9655213, 7980311.15434334, False), (1288, 14010651.6589322, 7980311.21313583, False), (1290, 14010651.32020785, 7980311.2859333, False), (1292, 14010651.1734249, 7980311.02960222, False), (1294, 14010651.07164594, 7980310.75666367, False), (1296, 14010651.02630382, 7980310.30241849, False), (1298, 14010650.9624887, 7980309.84760083, False), (1300, 14010650.9383385, 7980309.2812469, False), (1302, 14010650.89733444, 7980308.68841494, False), (1304, 14010650.82018517, 7980308.16634593, False), (1306, 14010651.07171036, 7980306.75767011, False), (1308, 14010651.17566682, 7980305.50703933, False)]",30,"[(False, 16)]",0.05084005
118,"[(1268, 14010649.98493851, 7980312.82091803, False), (1270, 14010649.86182334, 7980313.31933083, False), (1272, 14010649.84625448, 7980313.64585457, False), (1274, 14010649.85941293, 7980313.95953768, False), (1276, 14010649.81667691, 7980314.40819642, False), (1278, 14010649.77215982, 7980314.85939117, False)]",10,"[(False, 6)]",0.05084005
