person_id,trajectory,duration_frames,shadow_segments,avg_shadow_proportion
1,"[(52, 14010648.1313638, 7980276.00358502, False), (54, 14010648.03356887, 7980276.11192326, False), (56, 14010647.9167249, 7980276.46806983, False), (58, 14010647.84170942, 7980276.93141275, False), (60, 14010647.75883746, 7980277.36828929, False), (62, 14010647.60632238, 7980277.86084667, False), (64, 14010647.46286152, 7980278.43616875, False), (66, 14010647.38677634, 7980278.76491319, False), (68, 14010647.22313041, 7980279.305436, False), (70, 14010647.1092112, 7980279.74930419, False), (72, 14010646.96132892, 7980280.20016994, False), (74, 14010646.85140535, 7980280.74340529, False), (76, 14010646.77857997, 7980281.0144541, False), (78, 14010646.72095394, 7980281.15429839, False), (80, 14010646.59094259, 7980281.51067969, False), (82, 14010646.42488057, 7980281.98444378, False), (84, 14010646.2463694, 7980282.50456029, False), (86, 14010646.06691673, 7980283.03329894, False), (88, 14010645.86425324, 7980283.69959594, True), (90, 14010645.73300313, 7980284.2493741, True)]",38,"[(False, 18), (True, 2)]",0.16947182
4,"[(30, 14010649.46613181, 7980287.29312463, False), (32, 14010649.46211282, 7980287.87733916, False), (34, 14010649.51046554, 7980288.72086935, False), (36, 14010649.53454523, 7980289.22048615, False), (38, 14010649.53622589, 7980289.73541031, False), (40, 14010649.5554882, 7980290.41429733, False), (42, 14010649.57221411, 7980290.89309747, False), (44, 14010649.60990874, 7980291.53723281, False), (46, 14010649.64513625, 7980292.11931286, False), (48, 14010649.66358728, 7980292.74367675, False), (50, 14010649.68541937, 7980293.39057852, False), (52, 14010649.6975096, 7980294.01226782, False), (54, 14010649.71662491, 7980294.62200081, False), (56, 14010649.7504323, 7980295.22838324, False), (58, 14010649.7568212, 7980295.77338667, False), (60, 14010649.79312032, 7980296.34027057, False), (62, 14010649.85388002, 7980296.92256264, False), (64, 14010649.933024, 7980297.5124106, False), (66, 14010650.03410352, 7980298.1942246, False), (68, 14010650.09983864, 7980298.84358079, False), (70, 14010650.13788614, 7980299.37076253, False), (72, 14010650.19969243, 7980299.94831358, False), (74, 14010650.2262144, 7980300.48165478, False), (76, 14010650.27507283, 7980300.96462643, False), (78, 14010650.33252267, 7980301.47935561, False), (80, 14010650.39186352, 7980302.00007948, False), (82, 14010650.42979677, 7980302.54687571, False), (84, 14010650.5125413, 7980303.21203101, False), (86, 14010650.57844243, 7980303.75472873, False), (88, 14010650.63486168, 7980304.32885676, False), (90, 14010650.69597951, 7980304.86406362, False), (92, 14010650.75506548, 7980305.41216196, False), (94, 14010650.75351522, 7980305.98208271, False), (96, 14010650.79931349, 7980306.48826704, False), (98, 14010650.83186812, 7980307.03985354, False), (100, 14010650.87006683, 7980307.60997436, False), (102, 14010650.94557244, 7980308.08752675, False), (104, 14010650.9908956, 7980308.68695278, False), (106, 14010651.0591996, 7980309.32398416, False), (108, 14010651.15994642, 7980309.90367364, False), (110, 14010651.21632619, 7980310.50643362, False), (112, 14010651.25689192, 7980311.07365895, False), (114, 14010651.30715407, 7980311.61669357, False), (116, 14010651.32229919, 7980312.24979955, False), (118, 14010651.3912592, 7980312.75901279, False), (120, 14010651.46212172, 7980313.26511513, False), (122, 14010651.4821095, 7980313.84502992, False), (124, 14010651.56998464, 7980314.34358739, False), (126, 14010651.62469172, 7980314.84936769, False)]",96,"[(False, 49)]",0.16947182
9,"[(4, 14010645.60259281, 7980306.79742481, True), (6, 14010645.62469702, 7980306.05089725, True), (8, 14010645.64310838, 7980305.5282993, True), (10, 14010645.59721158, 7980304.99199297, True), (12, 14010645.59418691, 7980304.27088146, True), (14, 14010645.56066972, 7980303.5773252, True), (16, 14010645.47628934, 7980302.97875756, True), (18, 14010645.38104054, 7980302.32952903, True), (20, 14010645.32296438, 7980301.6684118, True), (22, 14010645.29887324, 7980301.15093914, True), (24, 14010645.30528862, 7980300.54593303, True), (26, 14010645.2880177, 7980299.88621749, True), (28, 14010645.25272777, 7980299.23683834, True), (30, 14010645.19255191, 7980298.68350186, True), (32, 14010645.13406504, 7980298.11505834, True), (34, 14010645.0472258, 7980297.74306235, True), (36, 14010644.97864441, 7980297.15824968, True), (38, 14010644.94709884, 7980296.3266711, True), (40, 14010644.9086825, 7980295.84353532, True), (42, 14010644.87188456, 7980295.09866313, True), (44, 14010644.84126479, 7980294.51216914, True), (46, 14010644.82427159, 7980294.09590696, True), (48, 14010644.78937298, 7980293.46809979, True), (50, 14010644.78189555, 7980292.96601187, True), (52, 14010644.78757283, 7980292.5293906, True), (54, 14010644.78943512, 7980291.68227208, True), (56, 14010644.81117588, 7980291.01796041, True), (58, 14010644.84341073, 7980290.35712502, True), (60, 14010644.88104054, 7980289.57922153, True), (62, 14010644.97589299, 7980289.12234163, True), (64, 14010645.04908578, 7980288.8578481, True), (66, 14010645.08161322, 7980288.40075341, True), (68, 14010645.22176858, 7980287.82802851, True), (70, 14010645.4136525, 7980287.2049412, True), (72, 14010645.62225648, 7980286.56886925, True), (74, 14010645.8311196, 7980285.9356912, True), (76, 14010645.97831548, 7980285.46730434, False), (78, 14010646.12890725, 7980285.12240918, False), (80, 14010646.31883287, 7980284.87057444, False), (82, 14010646.52080296, 7980284.48649577, False), (84, 14010646.72187016, 7980284.15336854, False), (86, 14010646.87349767, 7980283.76113536, False), (88, 14010647.01145959, 7980283.49923512, False), (90, 14010647.10688696, 7980283.07491981, False), (92, 14010647.17948119, 7980282.38574167, False), (94, 14010647.20449605, 7980281.65504493, False), (96, 14010647.19487076, 7980280.88470018, False), (98, 14010647.174896, 7980280.09490293, False), (100, 14010647.16352906, 7980279.48622559, False), (102, 14010647.23384608, 7980278.72328114, False), (104, 14010647.16756337, 7980278.10434157, False), (106, 14010647.12533249, 7980277.33503976, False), (108, 14010647.10138819, 7980276.46887958, False), (110, 14010647.07844386, 7980275.31369435, False), (112, 14010647.01358621, 7980274.79294463, False), (114, 14010646.96861294, 7980274.23073238, False), (116, 14010646.91516359, 7980273.56271159, False), (118, 14010646.83629584, 7980272.77627082, False), (120, 14010646.78513384, 7980271.52063822, False), (122, 14010646.75911553, 7980270.28719617, False)]",118,"[(True, 36), (False, 24)]",0.16947182
10,"[(6, 14010646.58204842, 7980286.3176958, False), (8, 14010646.53572825, 7980287.14971532, False), (10, 14010646.49840356, 7980287.82015472, False), (12, 14010646.46983716, 7980288.33327449, False), (14, 14010646.43745653, 7980288.91490688, False), (16, 14010646.41902646, 7980289.53120878, False), (18, 14010646.42679589, 7980290.0686907, False), (20, 14010646.40039107, 7980290.80978728, False), (22, 14010646.36275002, 7980291.53057738, False), (24, 14010646.31386252, 7980292.10441393, False), (26, 14010646.28407791, 7980292.71970095, False), (28, 14010646.27324865, 7980293.44633495, False), (30, 14010646.30083206, 7980294.15543593, False), (32, 14010646.3306148, 7980294.81475985, False), (34, 14010646.39387714, 7980295.47933678, False), (36, 14010646.47333712, 7980296.05979361, False), (38, 14010646.554907, 7980296.59063676, False), (40, 14010646.67902196, 7980297.15042447, False), (42, 14010646.77228928, 7980297.66169013, False), (44, 14010646.8513721, 7980298.07935662, False), (46, 14010646.92306517, 7980298.4522085, False), (48, 14010647.02440938, 7980298.71349307, False), (50, 14010647.12852594, 7980298.9169902, False), (52, 14010647.21122323, 7980298.948957, False), (54, 14010647.37090774, 7980299.21483566, False), (56, 14010647.51011391, 7980299.34177856, False), (58, 14010647.60694065, 7980299.42951588, False), (60, 14010647.67269664, 7980299.49308597, False), (62, 14010647.6816486, 7980299.43304424, False), (64, 14010647.68247221, 7980299.40346174, False), (66, 14010647.67891224, 7980299.4567838, False), (68, 14010647.65318166, 7980299.65157902, False), (70, 14010647.65053934, 7980299.93901788, False), (72, 14010647.64076424, 7980300.22839821, False), (74, 14010647.64759157, 7980300.52491174, False), (76, 14010647.66579024, 7980301.05201666, False), (78, 14010647.7002538, 7980301.7310814, False), (80, 14010647.73015754, 7980302.42650624, False), (82, 14010647.74311634, 7980303.17395267, False), (84, 14010647.7623119, 7980303.8733134, False), (86, 14010647.76151392, 7980304.53986707, False), (88, 14010647.76300523, 7980305.22013372, False), (90, 14010647.78336082, 7980305.77741155, False), (92, 14010647.77728968, 7980306.30793706, False), (94, 14010647.75082916, 7980306.91945553, False), (96, 14010647.73532836, 7980307.49508725, False), (98, 14010647.72965438, 7980308.06703903, False), (100, 14010647.71454922, 7980308.78713742, False), (102, 14010647.67571419, 7980309.6828496, False), (104, 14010647.68469002, 7980310.30392108, False), (106, 14010647.68053121, 7980310.98086947, False), (108, 14010647.71301234, 7980311.57842261, False), (110, 14010647.73219195, 7980312.2416959, False), (112, 14010647.73455316, 7980312.99038193, False), (114, 14010647.75917233, 7980313.73050439, False), (116, 14010647.80313337, 7980314.37618444, False)]",110,"[(False, 56)]",0.16947182
11,"[(8, 14010651.43916038, 7980309.21562043, False), (10, 14010651.48998966, 7980309.60848086, False), (12, 14010651.5430899, 7980310.04189306, False), (14, 14010651.58376236, 7980310.49346847, False), (16, 14010651.57311763, 7980311.07779237, False), (18, 14010651.63137192, 7980311.47124131, False), (20, 14010651.68466408, 7980311.96090224, False), (22, 14010651.67440068, 7980312.50521533, False), (24, 14010651.65564786, 7980312.99262479, False), (26, 14010651.69161756, 7980313.476424, False), (28, 14010651.7450277, 7980313.82763217, False), (30, 14010651.69929302, 7980314.33730693, False), (32, 14010651.76368612, 7980314.80835429, False)]",24,"[(False, 13)]",0.16947182
12,"[(10, 14010651.03168512, 7980309.52008256, False), (12, 14010651.01323912, 7980310.10007621, False), (14, 14010650.98764544, 7980310.65320518, False), (16, 14010651.04863581, 7980311.12516679, False), (18, 14010651.11822085, 7980311.52396677, False), (20, 14010651.14567419, 7980311.98443474, False), (22, 14010651.15619535, 7980312.43320311, False), (24, 14010651.17032352, 7980312.91562197, False), (26, 14010651.19958644, 7980313.42567175, False), (28, 14010651.22783371, 7980313.89813043, False), (30, 14010651.29438014, 7980314.30559462, False), (32, 14010651.37472124, 7980314.70929025, False)]",22,"[(False, 12)]",0.16947182
14,"[(378, 14010645.63965328, 7980294.96042378, True), (380, 14010645.67949716, 7980295.34165867, True), (382, 14010645.64961755, 7980295.73791745, True), (384, 14010645.66441237, 7980294.14630571, True), (386, 14010645.63871895, 7980293.29299993, True), (388, 14010645.63863675, 7980293.13862666, True), (390, 14010645.65031002, 7980293.28267354, True), (392, 14010645.64669316, 7980293.66460011, True), (394, 14010645.62835689, 7980293.92840791, True), (396, 14010645.59458414, 7980294.33201314, True), (398, 14010645.58736054, 7980294.65880638, True), (400, 14010645.56259714, 7980295.05048111, True), (402, 14010645.50982602, 7980295.28399577, True), (404, 14010645.44752078, 7980295.74356416, True), (406, 14010645.41180161, 7980296.26066287, True), (408, 14010645.3445796, 7980296.65568819, True), (410, 14010645.28723002, 7980297.00805979, True), (412, 14010645.23256504, 7980297.4934849, True), (414, 14010645.17931242, 7980298.0447609, True), (416, 14010645.15415642, 7980298.5335539, True), (418, 14010645.15502043, 7980298.93050668, True), (420, 14010645.17293241, 7980299.40555404, True), (422, 14010645.19878266, 7980299.80101062, True), (424, 14010645.25360591, 7980300.29283134, True), (426, 14010645.30947486, 7980300.75716123, True), (428, 14010645.34325822, 7980301.38066531, True), (430, 14010645.36855993, 7980301.95966874, True), (432, 14010645.38227736, 7980302.43712866, True), (434, 14010645.39917149, 7980303.13379668, True), (436, 14010645.42965, 7980303.65968162, True), (438, 14010645.45077771, 7980304.1946062, True), (440, 14010645.45683546, 7980304.90793807, True), (442, 14010645.45182186, 7980305.4095029, True), (444, 14010645.45797816, 7980306.01969512, True), (446, 14010645.46831651, 7980306.69283179, True), (448, 14010645.46284873, 7980307.22313654, True), (450, 14010645.50848852, 7980307.92510224, True), (452, 14010645.53763305, 7980308.64265795, False), (454, 14010645.56372684, 7980309.20395671, False), (456, 14010645.62446334, 7980309.77519843, False), (458, 14010645.65693641, 7980310.1165456, False), (460, 14010645.64353253, 7980310.73268445, False), (462, 14010645.66596838, 7980311.36570119, False), (464, 14010645.71452937, 7980311.87718772, False), (466, 14010645.75213319, 7980312.58343247, False), (468, 14010645.83305745, 7980313.12356448, False), (470, 14010645.93112986, 7980313.70118521, False), (472, 14010645.97755077, 7980314.44699795, False), (474, 14010646.04276005, 7980314.9860335, False)]",96,"[(True, 37), (False, 12)]",0.1781328
15,"[(242, 14010647.12842192, 7980314.95713707, False), (244, 14010647.07029324, 7980314.18891701, False), (246, 14010647.0612066, 7980313.53044693, False), (248, 14010647.05577646, 7980312.88075848, False), (250, 14010647.07872738, 7980312.07977991, False), (252, 14010647.13018577, 7980311.08161865, False), (254, 14010647.15768097, 7980310.45588484, False), (256, 14010647.11879384, 7980309.75884281, False), (258, 14010647.04773761, 7980309.16226646, False), (260, 14010646.96763749, 7980308.55774122, False), (262, 14010646.82071224, 7980307.82296861, False), (264, 14010646.68269212, 7980307.18867579, True), (266, 14010646.59476797, 7980306.59098095, True), (268, 14010646.4884817, 7980305.94460722, True), (270, 14010646.40907103, 7980305.28233781, True), (272, 14010646.36235001, 7980304.64999596, True), (274, 14010646.26342531, 7980303.94761137, True), (276, 14010646.19355065, 7980303.42426446, True), (278, 14010646.09675628, 7980302.84140685, True), (280, 14010646.01169913, 7980302.07788818, True), (282, 14010645.93261881, 7980301.66311967, True), (284, 14010645.84663172, 7980301.20044802, True), (286, 14010645.75642972, 7980300.84561593, True), (288, 14010645.68144735, 7980300.60262675, True), (290, 14010645.62370342, 7980300.40809094, True), (292, 14010645.55098075, 7980299.43979945, True), (294, 14010645.50900117, 7980298.39354457, True), (296, 14010645.42997395, 7980297.33290286, True), (298, 14010645.37364367, 7980296.73304967, True), (300, 14010645.32937228, 7980296.36061731, True), (302, 14010645.23532906, 7980295.69855187, True), (304, 14010645.18798634, 7980295.46866893, True), (306, 14010645.26311498, 7980294.38557651, True), (308, 14010645.3778926, 7980293.45650789, True), (310, 14010645.48389676, 7980292.77969439, True), (312, 14010645.52897555, 7980292.42723173, True), (314, 14010645.55667583, 7980292.22578365, True), (316, 14010645.5901521, 7980292.16691713, True), (318, 14010645.60556364, 7980292.39046686, True), (320, 14010645.60596756, 7980292.15529172, True), (322, 14010645.41214477, 7980291.85767603, True), (324, 14010645.13186479, 7980291.54971923, True), (326, 14010644.8279954, 7980291.25084986, True), (328, 14010644.70825952, 7980290.75638976, True), (330, 14010644.62039365, 7980290.18124494, True), (332, 14010644.77929809, 7980289.70345992, True), (334, 14010644.89251632, 7980289.27336952, True), (336, 14010644.96488754, 7980288.75262465, True), (338, 14010644.9630318, 7980288.21733657, True), (340, 14010644.99884748, 7980288.08674776, True), (342, 14010645.057117, 7980288.14422849, True), (344, 14010645.12539192, 7980288.25842952, True), (346, 14010645.19640387, 7980288.36968623, True), (348, 14010645.22521585, 7980288.20383041, True), (350, 14010645.23358962, 7980288.57440688, True), (352, 14010645.21259425, 7980288.83631032, True), (354, 14010645.19636889, 7980289.03698128, True), (356, 14010645.19349176, 7980288.88546348, True)]",114,"[(False, 11), (True, 47)]",0.1781328
19,"[(476, 14010645.65392078, 7980287.24769767, True), (478, 14010645.52347989, 7980287.72432663, True), (480, 14010645.48501261, 7980288.32340698, True), (482, 14010645.45586339, 7980288.93867669, True), (484, 14010645.37272652, 7980289.45359658, True), (486, 14010645.4270283, 7980290.13114324, True), (488, 14010645.54137623, 7980290.88066312, True), (490, 14010645.63277458, 7980291.28090359, True), (492, 14010645.79457401, 7980291.82633735, True), (494, 14010645.95012861, 7980292.49470894, True), (496, 14010646.02649262, 7980293.11268309, True), (498, 14010646.15467875, 7980293.5418718, True), (500, 14010646.28024091, 7980294.3572241, True), (502, 14010646.34620109, 7980295.09610994, True), (504, 14010646.38810732, 7980295.68877078, True), (506, 14010646.42011966, 7980296.42284811, True), (508, 14010646.40839985, 7980297.07995171, True), (510, 14010646.41197537, 7980297.57828058, True), (512, 14010646.4132814, 7980298.18545405, True), (514, 14010646.41234721, 7980298.70284844, True), (516, 14010646.41547467, 7980299.10938337, True), (518, 14010646.41454026, 7980299.70160811, True), (520, 14010646.37888603, 7980300.50154664, True), (522, 14010646.36539837, 7980301.17519197, True), (524, 14010646.36468664, 7980301.75575785, True), (526, 14010646.32179386, 7980302.47717756, True), (528, 14010646.27750377, 7980303.16047992, True), (530, 14010646.24656198, 7980303.673661, True), (532, 14010646.17415287, 7980304.34728157, True), (534, 14010646.09522727, 7980304.96272477, True), (536, 14010646.05588081, 7980305.52309749, True), (538, 14010646.0208746, 7980306.24150972, True), (540, 14010645.9812355, 7980306.76037002, True), (542, 14010645.95887848, 7980307.34569589, True), (544, 14010645.86229719, 7980308.05386133, True), (546, 14010645.78741735, 7980308.73869997, False), (548, 14010645.7220419, 7980309.47056782, False), (550, 14010645.64768704, 7980310.12227997, False), (552, 14010645.56372754, 7980310.63281418, False), (554, 14010645.48736385, 7980311.41925343, False), (556, 14010645.39996237, 7980312.11777759, False), (558, 14010645.36203346, 7980312.81388177, True), (560, 14010645.31571937, 7980313.50775268, True), (562, 14010645.27811838, 7980314.06786526, True), (564, 14010645.25440486, 7980314.64051613, True)]",88,"[(True, 35), (False, 6), (True, 4)]",0.1835101286666667
20,"[(68, 14010646.92309728, 7980314.69332379, False), (70, 14010646.79831288, 7980313.74126126, False), (72, 14010646.63830959, 7980312.84235455, False), (74, 14010646.44285224, 7980311.72386939, False), (76, 14010646.28737399, 7980310.81957272, False), (78, 14010646.14625312, 7980309.99502691, False), (80, 14010646.03964216, 7980309.07098892, False), (82, 14010645.94417451, 7980307.9594483, True), (84, 14010645.92129272, 7980306.8629659, True), (86, 14010645.89140653, 7980305.96671548, True), (88, 14010645.91306353, 7980305.26258229, True), (90, 14010645.90509208, 7980304.39351877, True), (92, 14010645.91086442, 7980303.44474696, True), (94, 14010645.96636534, 7980302.68741518, True), (96, 14010645.97372915, 7980301.97458442, True), (98, 14010645.98041874, 7980301.16376754, True), (100, 14010645.96592879, 7980300.62459464, True), (102, 14010645.9359294, 7980299.73279651, True), (104, 14010645.99580895, 7980298.3829314, True), (106, 14010646.04785026, 7980297.50821139, True), (108, 14010646.08354855, 7980296.79859871, True), (110, 14010646.20743191, 7980296.02068483, True), (112, 14010646.32212424, 7980295.40656642, False), (114, 14010646.40829931, 7980294.74001573, False), (116, 14010646.47578417, 7980294.09115654, False), (118, 14010646.52220214, 7980293.2264313, False), (120, 14010646.5703024, 7980292.32821208, False), (122, 14010646.62202628, 7980291.19098803, False), (124, 14010646.65553416, 7980290.51155126, False), (126, 14010646.68642036, 7980289.73561683, False), (128, 14010646.6975849, 7980288.9471943, False), (130, 14010646.71574143, 7980288.14731536, False), (132, 14010646.72469992, 7980287.29392179, False), (134, 14010646.73011856, 7980286.389221, False), (136, 14010646.73506033, 7980285.43629111, False), (138, 14010646.7009077, 7980284.51501108, False), (140, 14010646.69747869, 7980283.67127283, False), (142, 14010646.67809142, 7980282.78585243, False), (144, 14010646.67647923, 7980282.05509502, False), (146, 14010646.71730253, 7980281.1083551, False), (148, 14010646.77000204, 7980280.17544501, False), (150, 14010646.78096949, 7980279.33452387, False), (152, 14010646.81525864, 7980278.41879048, False), (154, 14010646.79817954, 7980277.50921023, False), (156, 14010646.79390078, 7980276.65534043, False), (158, 14010646.76042434, 7980275.73440448, False), (160, 14010646.71325, 7980274.75414005, False), (162, 14010646.63212272, 7980273.88735361, False), (164, 14010646.57409584, 7980272.6811019, False), (166, 14010646.54123121, 7980271.53193699, False)]",98,"[(False, 7), (True, 15), (False, 28)]",0.1694718199999999
