person_id,trajectory,duration_frames,shadow_segments,avg_shadow_proportion
0,"[(182, 14010649.23019105, 7980314.9090565, False), (184, 14010649.1306217, 7980314.52451321, False), (186, 14010649.08969961, 7980314.08791058, False), (188, 14010649.09268201, 7980313.59339064, False), (190, 14010649.10799708, 7980313.18469164, False), (192, 14010649.08107852, 7980312.85818279, False), (194, 14010649.10075314, 7980312.37420489, False), (196, 14010649.1397894, 7980311.84604364, False), (198, 14010649.11577733, 7980311.42168609, False), (200, 14010649.09465533, 7980311.07141922, False), (202, 14010649.10826113, 7980310.66107396, False), (204, 14010649.13421426, 7980310.27723238, False), (206, 14010649.13896975, 7980309.90204776, False), (208, 14010649.18441038, 7980309.41231388, False), (210, 14010649.22406471, 7980309.04676303, False), (212, 14010649.25214816, 7980308.73342655, False), (214, 14010649.29615001, 7980308.28033042, False), (216, 14010649.34923247, 7980307.80865123, False), (218, 14010649.36926298, 7980307.47274578, False), (220, 14010649.33700949, 7980307.08721528, False), (222, 14010649.31943883, 7980306.61622018, False), (224, 14010649.30498559, 7980306.24864137, False), (226, 14010649.2469359, 7980305.70875874, False), (228, 14010649.1747699, 7980305.2522455, False), (230, 14010649.11444358, 7980304.85265227, False), (232, 14010649.02013832, 7980304.47391304, False), (234, 14010648.94186037, 7980304.07814734, False), (236, 14010648.85364793, 7980303.5387097, False), (238, 14010648.77036734, 7980303.13839667, False), (240, 14010648.66093344, 7980302.72246867, False), (242, 14010648.52768116, 7980302.27383041, False), (244, 14010648.40275404, 7980301.87755576, False), (246, 14010648.2918501, 7980301.51086165, False), (248, 14010648.15494034, 7980301.05272259, False), (250, 14010648.02686221, 7980300.68756802, False), (252, 14010647.9126982, 7980300.37688226, False), (254, 14010647.7944407, 7980299.68799984, False), (256, 14010647.63273805, 7980298.87732563, False), (258, 14010647.45259368, 7980298.50581902, False), (260, 14010647.277426, 7980298.36903377, False), (262, 14010647.07998044, 7980298.21595373, False), (264, 14010646.89369241, 7980297.91166411, False), (266, 14010646.72397156, 7980297.67429053, False), (268, 14010646.51979219, 7980297.35052194, False), (270, 14010646.32615276, 7980297.08815418, False), (272, 14010646.14601, 7980296.72193851, False)]",90,"[(False, 46)]",0.10677073
1,"[(2, 14010649.35729195, 7980284.03228236, False), (4, 14010649.33519648, 7980284.22267888, False), (6, 14010649.29241806, 7980284.59130031, False), (8, 14010649.24787594, 7980284.97511945, False), (10, 14010649.2847388, 7980284.65747242, False), (12, 14010649.16712061, 7980285.36257581, False), (14, 14010649.0732822, 7980286.19079661, False), (16, 14010648.98374256, 7980286.84847232, False), (18, 14010648.92913919, 7980287.57194029, False), (20, 14010648.87845702, 7980288.27995896, False), (22, 14010648.8677336, 7980288.76413872, False), (24, 14010648.84862335, 7980289.35039436, False), (26, 14010648.81059196, 7980290.08421826, False), (28, 14010648.81065391, 7980290.35006581, False), (30, 14010648.79553705, 7980290.91229389, False), (32, 14010648.77101645, 7980291.6396405, False), (34, 14010648.79103491, 7980292.26072358, False), (36, 14010648.8064798, 7980292.77061552, False), (38, 14010648.81774811, 7980293.32440349, False), (40, 14010648.86167793, 7980293.94417359, False), (42, 14010648.87099911, 7980294.4170063, False), (44, 14010648.93165643, 7980295.03851826, False), (46, 14010649.01703688, 7980295.73668684, False), (48, 14010649.10676681, 7980296.39085395, False), (50, 14010649.16059099, 7980297.0398977, False), (52, 14010649.17392788, 7980297.64039188, False), (54, 14010649.13939107, 7980298.24013772, False), (56, 14010649.05744676, 7980298.78791353, False), (58, 14010648.96161791, 7980299.30086756, False), (60, 14010648.91633832, 7980299.71387834, False), (62, 14010648.93931243, 7980300.32602313, False), (64, 14010649.04613959, 7980300.89322953, False), (66, 14010649.10775986, 7980301.45227419, False), (68, 14010649.15703847, 7980301.83530656, False), (70, 14010649.18067554, 7980302.17059512, False)]",68,"[(False, 35)]",0.09693451
3,"[(214, 14010646.36873796, 7980301.93646343, False), (216, 14010646.41588251, 7980302.27098077, False), (218, 14010646.44020205, 7980302.38542232, False), (220, 14010646.49591362, 7980302.51208129, False), (222, 14010646.6105101, 7980302.80150402, False), (224, 14010646.65363122, 7980303.09934289, False), (226, 14010646.70912208, 7980303.34348695, False), (228, 14010646.73926792, 7980303.47700482, False), (230, 14010646.90551914, 7980302.53424348, False), (232, 14010646.97927513, 7980302.13275232, False), (234, 14010647.00157862, 7980302.06387538, False), (236, 14010646.97384888, 7980302.52000005, False), (238, 14010646.89801301, 7980303.37075475, False), (240, 14010646.83591231, 7980304.1615255, False), (242, 14010646.78907868, 7980305.01314115, False), (244, 14010646.70185655, 7980306.0453192, False), (246, 14010646.58926466, 7980306.96462656, True), (248, 14010646.48927081, 7980307.78330296, False), (250, 14010646.41747127, 7980308.23141365, False), (252, 14010646.34444881, 7980308.58478376, False), (254, 14010646.26136369, 7980308.93466411, False), (256, 14010646.17732297, 7980309.42592288, False), (258, 14010646.13842235, 7980309.85390696, False), (260, 14010646.10258791, 7980310.3411881, False), (262, 14010646.06207708, 7980310.74527029, False), (264, 14010646.00890213, 7980311.26021097, False), (266, 14010645.96123654, 7980311.6524902, False), (268, 14010645.91114523, 7980312.10279634, False), (270, 14010645.86312714, 7980312.36799328, False), (272, 14010645.81399773, 7980312.82190517, False), (274, 14010645.76723663, 7980313.28363124, False), (276, 14010645.74393481, 7980313.75201627, False), (278, 14010645.72714146, 7980314.29476234, False), (280, 14010645.72598003, 7980314.71717925, False)]",66,"[(False, 16), (True, 1), (False, 17)]",0.10677073
5,"[(300, 14010646.10528339, 7980304.33152785, True), (302, 14010646.08000314, 7980304.655617, True), (304, 14010646.07804413, 7980304.99987843, True), (306, 14010646.12200703, 7980305.46970846, True), (308, 14010646.13267624, 7980305.99041264, True), (310, 14010646.17039299, 7980306.36787257, True), (312, 14010646.20231168, 7980306.76288641, True), (314, 14010646.19434185, 7980307.35554362, True), (316, 14010646.15665814, 7980307.8797805, False), (318, 14010646.07238387, 7980308.48635377, False), (320, 14010645.98136422, 7980309.02633447, False), (322, 14010645.86997761, 7980309.54238731, False), (324, 14010645.7428308, 7980310.01923018, True), (326, 14010645.6806794, 7980310.3761947, True), (328, 14010645.638116, 7980310.75327395, True), (330, 14010645.6028753, 7980311.38273884, False), (332, 14010645.49831894, 7980311.92591809, False), (334, 14010645.39827717, 7980312.29234311, False), (336, 14010645.3417268, 7980312.69586715, False), (338, 14010645.24220299, 7980313.09920159, True), (340, 14010645.15463227, 7980313.49382967, True), (342, 14010645.10831831, 7980313.83388358, True), (344, 14010645.07859193, 7980314.1935689, True), (346, 14010645.09967525, 7980314.69503127, True)]",46,"[(True, 8), (False, 4), (True, 3), (False, 4), (True, 5)]",0.10677073
6,"[(512, 14010646.84723041, 7980299.17488027, False), (514, 14010646.84769066, 7980299.35438466, False), (516, 14010646.90629885, 7980299.9574549, False), (518, 14010646.97128064, 7980300.60797707, False), (520, 14010647.03618454, 7980301.25722528, False), (522, 14010647.05486296, 7980301.67436742, False), (524, 14010647.0962862, 7980302.1898183, False), (526, 14010647.11203274, 7980302.60517205, False), (528, 14010647.00794624, 7980303.29002739, False), (530, 14010646.90640915, 7980303.89492915, False), (532, 14010646.88400958, 7980304.2790201, False), (534, 14010646.81197247, 7980304.92975863, False), (536, 14010646.75908456, 7980305.56448637, False), (538, 14010646.7411691, 7980305.95616636, False), (540, 14010646.68372047, 7980306.39586712, True), (542, 14010646.64953322, 7980306.72149732, True), (544, 14010646.63753731, 7980307.13797041, True), (546, 14010646.61853023, 7980307.5131922, False), (548, 14010646.66845707, 7980307.73435768, False), (550, 14010646.76977267, 7980307.64764786, False), (552, 14010646.77994607, 7980308.09838285, False), (554, 14010646.85793075, 7980308.70992539, False), (556, 14010646.81233036, 7980310.0877031, False), (558, 14010646.77004187, 7980310.98621586, False), (560, 14010646.69529658, 7980312.03839431, False), (562, 14010646.70787089, 7980312.56701258, False), (564, 14010646.80382794, 7980312.90589192, False), (566, 14010646.90691543, 7980313.73731479, False), (568, 14010646.93734714, 7980314.65273693, False)]",56,"[(False, 14), (True, 3), (False, 12)]",0.1081770731034482
7,"[(248, 14010647.04487012, 7980306.50298608, False), (250, 14010647.00980249, 7980306.77303353, False), (252, 14010646.99050048, 7980307.01085072, False), (254, 14010646.91865862, 7980307.42813008, False), (256, 14010646.84491144, 7980307.8111498, False), (258, 14010646.77798547, 7980308.32784896, False), (260, 14010646.7059892, 7980308.84067341, False), (262, 14010646.67914918, 7980309.28158823, False), (264, 14010646.68169498, 7980309.78366199, False), (266, 14010646.66244682, 7980310.14799316, False), (268, 14010646.6007013, 7980310.60589897, False), (270, 14010646.59467313, 7980311.08273045, False), (272, 14010646.56988572, 7980311.53482883, False), (274, 14010646.52664142, 7980311.97140248, False), (276, 14010646.50305736, 7980312.3858493, False), (278, 14010646.52836228, 7980312.94572332, False), (280, 14010646.53017392, 7980313.34784679, False), (282, 14010646.55827153, 7980313.99807581, False), (284, 14010646.57318368, 7980314.71497206, False)]",36,"[(False, 19)]",0.10677073
8,"[(22, 14010646.38328472, 7980314.88262011, False), (24, 14010646.3895474, 7980314.41225617, False), (26, 14010646.38138699, 7980313.85222255, False), (28, 14010646.36849306, 7980313.230688, False), (30, 14010646.39778428, 7980312.62354522, False), (32, 14010646.41630324, 7980312.22912869, False), (34, 14010646.42134776, 7980311.66302457, False), (36, 14010646.43585996, 7980310.99723734, False), (38, 14010646.45261024, 7980310.09929642, False), (40, 14010646.4577721, 7980309.34244708, False), (42, 14010646.49483111, 7980308.01572255, False), (44, 14010646.51876675, 7980306.98003022, True), (46, 14010646.54196062, 7980305.74774272, False), (48, 14010646.51933509, 7980305.08388771, False), (50, 14010646.50588372, 7980304.25721482, False), (52, 14010646.4864626, 7980303.5196412, False), (54, 14010646.48412123, 7980302.56324277, False), (56, 14010646.54533958, 7980301.80501472, False), (58, 14010646.58341183, 7980300.73034032, False), (60, 14010646.68876578, 7980300.46618467, False), (62, 14010646.65581838, 7980300.46299914, False), (64, 14010646.64940266, 7980299.93029051, False), (66, 14010646.64149902, 7980299.27173706, False), (68, 14010646.63477096, 7980298.57325662, False), (70, 14010646.6296177, 7980297.87486161, False), (72, 14010646.62561158, 7980297.18867515, False), (74, 14010646.62222288, 7980296.51412401, False), (76, 14010646.68846913, 7980294.86573104, False), (78, 14010646.7079497, 7980293.40267011, False), (80, 14010646.67312952, 7980292.86007184, False), (82, 14010646.61825328, 7980292.48546014, False), (84, 14010646.59447864, 7980291.77852398, False), (86, 14010646.46278407, 7980291.67768042, False), (88, 14010646.38445442, 7980291.10299865, False)]",66,"[(False, 11), (True, 1), (False, 22)]",0.09693451
9,"[(584, 14010650.13844046, 7980305.36187189, False), (586, 14010650.17398161, 7980305.59670345, False), (588, 14010650.15209484, 7980305.95058826, False), (590, 14010650.20548338, 7980306.13697311, False), (592, 14010650.21738949, 7980306.31051769, False), (594, 14010650.21920611, 7980306.52914716, False), (596, 14010650.17021539, 7980306.96574145, False), (598, 14010650.01431176, 7980307.66311368, False), (600, 14010649.89459119, 7980308.1753528, False), (602, 14010649.77242753, 7980308.67525688, False), (604, 14010649.69934105, 7980309.02949848, False), (606, 14010649.56776867, 7980309.45809522, False), (608, 14010649.43908456, 7980309.84915528, False), (610, 14010649.34972127, 7980310.21169327, False), (612, 14010649.20664262, 7980310.73369681, False), (614, 14010649.10890839, 7980311.05517091, False), (616, 14010649.02491409, 7980311.38672651, False), (618, 14010648.95346248, 7980311.72701103, False), (620, 14010648.84986373, 7980312.147028, False), (622, 14010648.76159761, 7980312.58718176, False), (624, 14010648.68336191, 7980312.97476397, False), (626, 14010648.5667117, 7980313.4952449, False), (628, 14010648.46230241, 7980313.92797792, False), (630, 14010648.37875953, 7980314.38684122, False), (632, 14010648.37023056, 7980314.69630679, False)]",48,"[(False, 25)]",0.10948966
14,"[(6, 14010645.96695882, 7980309.09773047, False), (8, 14010646.02321728, 7980308.72220768, False), (10, 14010646.05611871, 7980308.14657394, True), (12, 14010646.1152441, 7980307.86431529, False), (14, 14010646.15779218, 7980307.43276052, False), (16, 14010646.17264147, 7980307.17385099, True), (18, 14010646.144797, 7980306.4469617, True), (20, 14010646.15380813, 7980305.7557697, True), (22, 14010646.21911798, 7980304.61967144, False), (24, 14010646.3095002, 7980303.29309041, False), (26, 14010646.42219928, 7980302.99176369, False), (28, 14010646.51876828, 7980303.30375444, False), (30, 14010646.59742501, 7980303.77712185, False), (32, 14010646.62164264, 7980304.19793668, False), (34, 14010646.6220301, 7980304.54043052, False), (36, 14010646.62108004, 7980304.86815841, False), (38, 14010646.61755768, 7980305.05267675, False), (40, 14010646.66542304, 7980304.68010501, False), (42, 14010646.82177529, 7980304.03313275, False), (44, 14010646.95630396, 7980303.95001148, False), (46, 14010647.06272669, 7980303.799619, False)]",40,"[(False, 2), (True, 1), (False, 2), (True, 3), (False, 13)]",0.09693451
15,"[(6, 14010649.93394234, 7980307.53319356, False), (8, 14010649.97552355, 7980307.24507025, False), (10, 14010650.00751777, 7980306.98533412, False), (12, 14010650.04974348, 7980306.68369891, False), (14, 14010649.9414554, 7980306.02109077, False), (16, 14010649.84489218, 7980305.55309223, False), (18, 14010649.80833181, 7980305.08799978, False), (20, 14010649.713225, 7980304.51379962, False), (22, 14010649.62486681, 7980304.01417528, False), (24, 14010649.5317975, 7980303.58796069, False), (26, 14010649.43573706, 7980303.18488683, False), (28, 14010649.33814541, 7980302.60991241, False), (30, 14010649.2636709, 7980302.19247465, False), (32, 14010649.19916102, 7980301.85222369, False), (34, 14010649.14573814, 7980301.42451666, False), (36, 14010649.10399816, 7980300.94651735, False), (38, 14010649.01685163, 7980300.44253889, False), (40, 14010648.85581539, 7980299.92708804, False), (42, 14010648.64918059, 7980299.38644649, False), (44, 14010648.42167724, 7980298.75087321, False), (46, 14010648.18753965, 7980298.1316975, False), (48, 14010647.94339833, 7980297.35453349, False), (50, 14010647.66684714, 7980296.9178062, False), (52, 14010647.40737937, 7980296.45598289, False), (54, 14010647.15408455, 7980295.95223313, False), (56, 14010646.91684112, 7980294.67366578, False), (58, 14010646.68138818, 7980293.59231475, False), (60, 14010646.43762687, 7980292.63249504, False), (62, 14010646.19950974, 7980291.64080144, False), (64, 14010645.93651183, 7980290.67011184, False), (66, 14010645.74007772, 7980289.80086761, False), (68, 14010645.57498724, 7980289.28501087, False), (70, 14010645.36648372, 7980288.51168564, True)]",64,"[(False, 32), (True, 1)]",0.09693451
