person_id,trajectory,duration_frames,shadow_segments,avg_shadow_proportion,transition_0,transition_1,transition_2,category
1,"[(58, 14010648.32983223, 7980311.87538413, False), (60, 14010648.3314623, 7980311.90789551, False), (62, 14010648.35960607, 7980312.4692175, False), (64, 14010648.44069096, 7980312.8405451, False), (66, 14010648.48925019, 7980313.33774452, False), (68, 14010648.50543713, 7980313.89516205, False), (70, 14010648.54820465, 7980314.37695999, False), (72, 14010648.61146266, 7980314.90007561, False)]",14,"[(False, 8)]",0.11863273,Heliophile,,,Heliophile
4,"[(56, 14010648.64675972, 7980311.32698691, False), (58, 14010648.92016022, 7980311.307678, False), (60, 14010649.04596195, 7980311.51887224, False), (62, 14010649.0633736, 7980312.10781797, False), (64, 14010649.13869956, 7980312.53383795, False), (66, 14010649.21149192, 7980312.97454714, False), (68, 14010649.20177498, 7980313.65098682, False), (70, 14010649.23704351, 7980314.09273715, False), (72, 14010649.25161748, 7980314.60667479, False)]",16,"[(False, 9)]",0.11863273,Heliophile,,,Heliophile
7,"[(18, 14010646.84578592, 7980298.61150181, False), (20, 14010646.93027893, 7980298.80377287, False), (22, 14010646.96533917, 7980299.19614248, False), (24, 14010646.96384995, 7980299.64006496, False), (26, 14010646.9273317, 7980299.98398886, False), (28, 14010646.86425826, 7980300.32929693, False), (30, 14010646.84926715, 7980300.79059568, False), (32, 14010646.84900669, 7980301.39173193, False), (34, 14010646.90209545, 7980301.8707224, False), (36, 14010646.98541888, 7980302.38477759, False), (38, 14010647.04732686, 7980302.87343214, False), (40, 14010647.094347, 7980303.24216537, False), (42, 14010647.12824942, 7980303.59389898, False), (44, 14010647.14581938, 7980304.10984795, False), (46, 14010647.1521239, 7980304.24553052, False), (48, 14010647.10377847, 7980304.5434838, False), (50, 14010647.07527022, 7980305.21295806, False), (52, 14010647.07962814, 7980305.7245001, False), (54, 14010647.10327128, 7980306.16916583, False), (56, 14010647.12664829, 7980306.81534827, False), (58, 14010647.13124788, 7980307.13847488, False), (60, 14010647.10437462, 7980307.5817979, False), (62, 14010647.020711, 7980308.039865, False), (64, 14010646.95360535, 7980308.52084007, False), (66, 14010646.8727009, 7980308.97112456, False), (68, 14010646.79661893, 7980309.39764399, False), (70, 14010646.76332089, 7980309.70130817, False), (72, 14010646.79412135, 7980309.90474216, False), (74, 14010646.85037381, 7980310.01955244, False), (76, 14010646.89798344, 7980310.04437285, False), (78, 14010646.92974778, 7980310.0359166, False), (80, 14010646.94562948, 7980310.0203021, False), (82, 14010646.94778039, 7980310.00525152, False), (84, 14010646.94501117, 7980309.99561819, False), (86, 14010646.8982109, 7980310.13241483, False), (88, 14010646.77741892, 7980310.3136521, False), (90, 14010646.57651169, 7980310.6244261, False), (92, 14010646.38682668, 7980310.75543879, True), (94, 14010646.23657779, 7980310.83091178, True), (96, 14010646.08087564, 7980310.8212448, True), (98, 14010646.00869851, 7980310.4105319, True), (100, 14010645.96583471, 7980310.25945152, True)]",82,"[(False, 37), (True, 5)]",0.11863273,,Shade-chaser,,Shade-chaser
11,"[(350, 14010649.55897515, 7980285.97767754, False), (352, 14010649.57919385, 7980286.01302185, False), (354, 14010649.58083333, 7980286.01588782, False), (356, 14010649.57625522, 7980287.03353251, False), (358, 14010649.57062992, 7980288.28559935, False), (360, 14010649.56477946, 7980289.60321391, False), (362, 14010649.54274674, 7980290.76021714, False), (364, 14010649.52600337, 7980291.91632385, False), (366, 14010649.52746786, 7980292.83038949, False), (368, 14010649.50064935, 7980293.65820929, False), (370, 14010649.45016515, 7980294.32390377, False), (372, 14010649.35653877, 7980295.05349062, False), (374, 14010649.23833164, 7980295.52079419, False), (376, 14010649.11595136, 7980296.13134418, False), (378, 14010649.00976005, 7980296.7381382, False), (380, 14010648.88414288, 7980297.36595671, False), (382, 14010648.79666279, 7980298.11619261, False), (384, 14010648.71789312, 7980298.73401237, False), (386, 14010648.63399918, 7980299.32675958, False), (388, 14010648.52853004, 7980299.87247446, False), (390, 14010648.42737804, 7980300.4640593, False), (392, 14010648.3596005, 7980301.03420216, False), (394, 14010648.30126865, 7980301.62774478, False), (396, 14010648.22303123, 7980302.29786863, False), (398, 14010648.19411, 7980302.8826245, False), (400, 14010648.19038214, 7980303.4596396, False), (402, 14010648.20721358, 7980304.12621446, False), (404, 14010648.24231898, 7980304.73247703, False), (406, 14010648.24565069, 7980305.3808162, False), (408, 14010648.26386304, 7980306.05531228, False), (410, 14010648.32103714, 7980306.5906617, False), (412, 14010648.337024, 7980307.28617137, False), (414, 14010648.36059513, 7980307.88306842, False), (416, 14010648.39065895, 7980308.47673546, False), (418, 14010648.42614444, 7980309.14339349, False), (420, 14010648.43568247, 7980309.79031907, False), (422, 14010648.48282747, 7980310.41160535, False), (424, 14010648.52551863, 7980310.92779453, False), (426, 14010648.55706073, 7980311.54236011, False), (428, 14010648.68294999, 7980312.21054498, False), (430, 14010648.75445727, 7980312.7363251, False), (432, 14010648.74876404, 7980313.44759649, False), (434, 14010648.79226512, 7980314.11772785, False), (436, 14010648.81072283, 7980314.65973857, False)]",86,"[(False, 44)]",0.1212915199999999,Heliophile,,,Heliophile
13,"[(200, 14010645.32386919, 7980314.63827867, True), (202, 14010645.16510411, 7980314.06613894, True), (204, 14010645.02482159, 7980313.61438124, True), (206, 14010644.95733179, 7980313.06392567, True), (208, 14010644.93311054, 7980312.5608313, True), (210, 14010644.90232712, 7980312.07083956, True), (212, 14010644.90354442, 7980311.63382598, True), (214, 14010644.94075, 7980311.12106622, True), (216, 14010644.97134075, 7980310.5472176, True), (218, 14010645.03561999, 7980310.15557552, True), (220, 14010645.15733203, 7980309.59197224, True), (222, 14010645.27090414, 7980309.18202445, True), (224, 14010645.36502218, 7980308.64461172, True), (226, 14010645.43773501, 7980307.97090707, True), (228, 14010645.46946629, 7980307.51278011, True), (230, 14010645.50786521, 7980307.05232098, True), (232, 14010645.58188174, 7980306.5539574, True), (234, 14010645.67492903, 7980306.04744568, True), (236, 14010645.75539051, 7980305.71981646, True), (238, 14010645.78409025, 7980305.31697222, True), (240, 14010645.83214626, 7980304.77370701, True), (242, 14010645.87825916, 7980304.25152419, True), (244, 14010645.86553114, 7980303.58853231, True), (246, 14010645.80192902, 7980303.04304808, True), (248, 14010645.79847083, 7980302.58568474, True), (250, 14010645.77021909, 7980302.09452167, True), (252, 14010645.72527045, 7980301.61285762, True), (254, 14010645.69554033, 7980301.30250214, True), (256, 14010645.65370354, 7980300.83066695, True), (258, 14010645.62866678, 7980300.22332579, True)]",58,"[(True, 30)]",0.12129152,Photophobic,,,Photophobic
14,"[(6, 14010647.84766835, 7980300.06293251, False), (8, 14010647.9210173, 7980300.49807247, False), (10, 14010647.99385815, 7980300.93019821, False), (12, 14010648.05407344, 7980301.341532, False), (14, 14010648.12236064, 7980301.81149566, False), (16, 14010648.15422998, 7980302.24875845, False), (18, 14010648.17230968, 7980302.71654566, False), (20, 14010648.20570856, 7980303.25834515, False), (22, 14010648.23637077, 7980303.75538933, False), (24, 14010648.2750556, 7980304.03431694, False), (26, 14010648.32565013, 7980304.45500841, False), (28, 14010648.37653224, 7980304.849368, False), (30, 14010648.44854205, 7980305.20115429, False), (32, 14010648.59311625, 7980305.2895144, False), (34, 14010648.77605731, 7980305.17844829, False), (36, 14010648.94046929, 7980305.10169982, False), (38, 14010649.1386823, 7980304.97897864, False), (40, 14010649.18279903, 7980305.52572695, False), (42, 14010649.06464475, 7980307.09132748, False), (44, 14010649.00472761, 7980308.12913676, False), (46, 14010648.95680273, 7980309.03673857, False), (48, 14010648.99480766, 7980309.47649314, False), (50, 14010649.11136243, 7980309.85816402, False), (52, 14010649.22827154, 7980310.24363584, False), (54, 14010649.33379312, 7980310.6130457, False), (56, 14010649.48086484, 7980311.04687035, False), (58, 14010649.57436692, 7980311.5214884, False), (60, 14010649.64310935, 7980312.00011358, False), (62, 14010649.76461903, 7980312.39788139, False), (64, 14010649.85794768, 7980312.77278902, False), (66, 14010649.884706, 7980313.25891083, False), (68, 14010649.89961618, 7980313.73070566, False), (70, 14010649.90131472, 7980314.21804191, False), (72, 14010649.86507801, 7980314.81501698, False)]",66,"[(False, 34)]",0.11863273,Heliophile,,,Heliophile
15,"[(6, 14010647.29199167, 7980299.95822609, False), (8, 14010647.38204723, 7980300.31959022, False), (10, 14010647.45571763, 7980300.81786385, False), (12, 14010647.48731798, 7980301.20920518, False), (14, 14010647.52813854, 7980301.40578474, False), (16, 14010647.57974369, 7980301.65562142, False), (18, 14010647.62023296, 7980302.13129377, False), (20, 14010647.65389879, 7980302.53991112, False), (22, 14010647.64819418, 7980303.01050011, False), (24, 14010647.6374977, 7980303.40949471, False), (26, 14010647.69875241, 7980303.97663774, False), (28, 14010647.74912457, 7980304.42397065, False), (30, 14010647.7856005, 7980305.13773654, False), (32, 14010647.85719583, 7980305.780845, False), (34, 14010647.91411915, 7980306.25086478, False), (36, 14010647.96088625, 7980306.62943969, False), (38, 14010648.08441412, 7980306.71065815, False), (40, 14010648.2609781, 7980306.52959727, False), (42, 14010648.55845988, 7980305.93907924, False), (44, 14010648.88914663, 7980305.31437827, False), (46, 14010649.09659899, 7980305.34035835, False), (48, 14010649.21306888, 7980305.7005368, False), (50, 14010649.30605335, 7980306.22391663, False), (52, 14010649.39656305, 7980306.56684204, False), (54, 14010649.33455912, 7980306.94751588, False), (56, 14010649.20647152, 7980307.34207724, False), (58, 14010649.18057741, 7980307.61446123, False)]",52,"[(False, 27)]",0.1186327299999999,Heliophile,,,Heliophile
16,"[(8, 14010646.81505085, 7980300.78614312, False), (10, 14010646.85176761, 7980301.22160443, False), (12, 14010646.90754693, 7980301.45961256, False), (14, 14010646.94765575, 7980301.72002228, False), (16, 14010647.01253409, 7980302.34562771, False), (18, 14010647.07473448, 7980302.9636387, False), (20, 14010647.11167334, 7980303.38457177, False), (22, 14010647.14131517, 7980303.65971757, False), (24, 14010647.161343, 7980304.18220196, False), (26, 14010647.13935405, 7980304.72827292, False), (28, 14010647.1359269, 7980305.12869108, False), (30, 14010647.20567924, 7980305.6277643, False), (32, 14010647.26106639, 7980305.88805116, False), (34, 14010647.31394197, 7980306.42058441, False), (36, 14010647.40077331, 7980306.92463738, False), (38, 14010647.48348647, 7980307.2725774, False), (40, 14010647.51619279, 7980307.86649688, False), (42, 14010647.5561899, 7980308.36098501, False), (44, 14010647.63864107, 7980308.66579359, False), (46, 14010647.94698583, 7980307.89332734, False), (48, 14010648.27885283, 7980306.93379725, False), (50, 14010648.61451053, 7980306.05378776, False), (52, 14010648.98033007, 7980305.35119236, False), (54, 14010649.17432781, 7980305.47670841, False), (56, 14010649.3371964, 7980305.64045865, False)]",48,"[(False, 25)]",0.1186327299999999,Heliophile,,,Heliophile
17,"[(10, 14010650.06702859, 7980274.03230114, False), (12, 14010650.14919075, 7980273.85674293, False), (14, 14010650.21425072, 7980274.62994716, False), (16, 14010650.27791494, 7980275.50608014, False), (18, 14010650.35736574, 7980276.39239842, False), (20, 14010650.43418884, 7980276.77529444, False), (22, 14010650.54962788, 7980277.36937631, False), (24, 14010650.68216303, 7980278.08593154, False), (26, 14010650.7318681, 7980278.76978905, False), (28, 14010650.80162448, 7980279.11615779, False), (30, 14010650.82175006, 7980279.73220948, False), (32, 14010650.82016504, 7980280.49588973, False), (34, 14010650.81291388, 7980281.31868508, False), (36, 14010650.80684467, 7980282.15310901, False), (38, 14010650.80362562, 7980282.98068457, False), (40, 14010650.78408209, 7980283.74503756, False), (42, 14010650.75797395, 7980284.46176323, False), (44, 14010650.75898613, 7980285.19734325, False), (46, 14010650.79271391, 7980285.80342757, False), (48, 14010650.82545252, 7980286.31732645, False), (50, 14010650.81586574, 7980287.03080492, False), (52, 14010650.82368902, 7980287.59523978, False), (54, 14010650.79673045, 7980288.14239844, False), (56, 14010650.83209807, 7980288.81165848, False), (58, 14010650.84622607, 7980289.43749247, False), (60, 14010650.89020026, 7980289.96425373, False), (62, 14010650.89731671, 7980290.35510356, False), (64, 14010650.83622764, 7980290.60530651, False), (66, 14010650.75393635, 7980290.94183371, False), (68, 14010650.6570072, 7980291.30912515, False), (70, 14010650.61949591, 7980291.78322542, False), (72, 14010650.61997312, 7980292.42213563, False), (74, 14010650.66665385, 7980292.93667487, False), (76, 14010650.72234301, 7980293.24985219, False), (78, 14010650.75777634, 7980293.87535353, False), (80, 14010650.79348575, 7980294.34522996, False), (82, 14010650.82402896, 7980294.81869516, False), (84, 14010650.8685011, 7980295.41215547, False), (86, 14010650.91833818, 7980296.04540088, False), (88, 14010650.97322438, 7980296.58766541, False), (90, 14010651.02795703, 7980296.88984175, False), (92, 14010651.07696502, 7980297.52135102, False), (94, 14010651.08713541, 7980298.1637402, False), (96, 14010651.08466892, 7980298.70574667, False), (98, 14010651.07033689, 7980299.32758292, False), (100, 14010651.07644075, 7980299.92509595, False), (102, 14010651.07058513, 7980300.39026591, False), (104, 14010651.01870606, 7980300.80568002, False), (106, 14010650.97946926, 7980301.30688572, False), (108, 14010651.00978014, 7980301.51891451, False), (110, 14010651.03397623, 7980301.8783784, False), (112, 14010651.02982551, 7980302.47587126, False), (114, 14010651.07705564, 7980303.11695853, False), (116, 14010651.17139221, 7980303.54090529, False), (118, 14010651.2412507, 7980304.02640466, False), (120, 14010651.31584155, 7980304.66692986, False), (122, 14010651.35681003, 7980305.16378107, False), (124, 14010651.32436787, 7980306.18029014, False), (126, 14010651.42223991, 7980306.69318404, False), (128, 14010651.56681086, 7980307.09777072, False), (130, 14010651.67755563, 7980307.45856086, False), (132, 14010651.78458576, 7980307.70388761, False), (134, 14010651.87005786, 7980308.2134615, False), (136, 14010651.9247538, 7980308.69947106, False), (138, 14010651.95050297, 7980309.20811134, False), (140, 14010651.98346965, 7980309.72337936, False), (142, 14010651.97965484, 7980310.27938153, False), (144, 14010652.02474439, 7980310.79517017, False), (146, 14010652.02785963, 7980311.36037254, False), (148, 14010652.02944283, 7980311.8850231, False), (150, 14010652.04386247, 7980312.40558213, False), (152, 14010652.07444419, 7980312.91331044, False), (154, 14010652.13873722, 7980313.39634338, False), (156, 14010652.17439108, 7980313.99381093, False), (158, 14010652.21198638, 7980314.54534535, False)]",148,"[(False, 75)]",0.1186327299999999,Heliophile,,,Heliophile
20,"[(16, 14010646.71290998, 7980293.41605415, False), (18, 14010646.72561773, 7980294.06249996, False), (20, 14010646.73815108, 7980294.70007343, False), (22, 14010646.74270928, 7980295.21601114, False), (24, 14010646.72658098, 7980295.75162421, False), (26, 14010646.71585814, 7980296.29805258, False), (28, 14010646.68621502, 7980296.95749817, False), (30, 14010646.64320082, 7980297.56844464, False), (32, 14010646.62907482, 7980298.03658849, False), (34, 14010646.60569567, 7980298.73290242, False), (36, 14010646.60259518, 7980299.35524875, False), (38, 14010646.61455451, 7980299.98419057, False), (40, 14010646.63145023, 7980300.59710747, False), (42, 14010646.63824432, 7980301.17365159, False), (44, 14010646.6379977, 7980301.61132622, False), (46, 14010646.62186456, 7980302.12247282, False), (48, 14010646.57660444, 7980302.68717145, False), (50, 14010646.52666144, 7980303.31024836, False), (52, 14010646.47367406, 7980303.88490741, False), (54, 14010646.35661794, 7980304.39345514, False), (56, 14010646.25625116, 7980304.93749411, False), (58, 14010646.1633573, 7980305.36123051, False), (60, 14010646.09409016, 7980305.95721258, False), (62, 14010646.05168642, 7980306.55548123, False), (64, 14010645.99420858, 7980307.03706452, True), (66, 14010645.93854222, 7980307.33087636, True), (68, 14010645.92246938, 7980307.79004605, True), (70, 14010645.87141133, 7980308.27664177, True), (72, 14010645.80788064, 7980308.70412971, True), (74, 14010645.73007506, 7980309.23729289, True), (76, 14010645.68035517, 7980309.79550952, True), (78, 14010645.63124858, 7980310.34773015, True), (80, 14010645.5755026, 7980310.97119082, True), (82, 14010645.53707183, 7980311.44671873, True), (84, 14010645.47742222, 7980312.05903149, True), (86, 14010645.43119238, 7980312.68215987, True), (88, 14010645.40221866, 7980313.16638815, True), (90, 14010645.3846148, 7980313.82282963, True), (92, 14010645.41896173, 7980314.47887445, True), (94, 14010645.48576427, 7980314.94858687, False)]",78,"[(False, 24), (True, 15), (False, 1)]",0.11863273,,,Shade-chaser,Shade-chaser
