person_id,trajectory,duration_frames,shadow_segments,avg_shadow_proportion,transition_0,transition_1,transition_2,category
0,"[(48, 14010645.27850931, 7980289.00556979, True), (50, 14010645.23960218, 7980288.79635052, True), (52, 14010645.24703235, 7980288.35325163, True), (54, 14010645.2230591, 7980287.82125459, True), (56, 14010645.25965039, 7980287.32122444, True), (58, 14010645.31801448, 7980286.8347028, True), (60, 14010645.38378907, 7980286.35472631, True), (62, 14010645.4500733, 7980285.87753378, True), (64, 14010645.48315989, 7980285.36130159, True), (66, 14010645.53341632, 7980284.86903561, True), (68, 14010645.5776706, 7980284.35634688, True), (70, 14010645.70059669, 7980283.52532985, False), (72, 14010645.8444935, 7980283.08525113, False), (74, 14010646.00959378, 7980282.42019016, False), (76, 14010646.20027221, 7980282.11449192, False), (78, 14010646.38925214, 7980281.80433758, False), (80, 14010646.54837382, 7980281.25284609, False), (82, 14010646.66956029, 7980280.69024701, False), (84, 14010646.79439324, 7980280.15825259, False), (86, 14010646.89076146, 7980279.57506828, False), (88, 14010646.99536067, 7980278.99208145, False), (90, 14010647.12684154, 7980278.43782473, False), (92, 14010647.26591489, 7980277.67991343, False), (94, 14010647.39903517, 7980276.98908877, False), (96, 14010647.54212314, 7980276.14605884, False), (98, 14010647.73750021, 7980275.51982803, False), (100, 14010647.90749521, 7980275.11612282, False), (102, 14010648.04892569, 7980274.99602281, False), (104, 14010648.18746169, 7980274.54963133, False), (106, 14010648.32939832, 7980273.90916523, False), (108, 14010648.47041285, 7980274.11786094, False), (110, 14010648.62050712, 7980274.04633452, False), (112, 14010648.83387069, 7980273.90873505, False), (114, 14010649.07550433, 7980273.73482373, False), (116, 14010649.29013791, 7980273.21190208, False), (118, 14010649.62304608, 7980272.81648925, False), (120, 14010649.9007646, 7980272.25045181, False)]",72,"[(True, 11), (False, 26)]",0.1503971599999999,,Sun-chaser,,Sun-chaser
2,"[(6, 14010646.66500093, 7980301.0261209, False), (8, 14010646.62293856, 7980301.66813585, False), (10, 14010646.59851078, 7980302.1109668, False), (12, 14010646.59242262, 7980302.48334515, True), (14, 14010646.56311055, 7980303.01015536, True), (16, 14010646.55710709, 7980303.46568841, True), (18, 14010646.58356832, 7980303.85480358, True), (20, 14010646.58053768, 7980304.63198681, True), (22, 14010646.60866026, 7980305.27331773, False), (24, 14010646.63466452, 7980305.87243892, False), (26, 14010646.63009063, 7980306.51251875, False), (28, 14010646.61940006, 7980307.15333564, False), (30, 14010646.64114303, 7980307.70082655, False), (32, 14010646.63558686, 7980308.33318151, False), (34, 14010646.62222464, 7980308.87192813, False), (36, 14010646.64291903, 7980309.43138903, False), (38, 14010646.63953327, 7980310.05136302, False), (40, 14010646.63639849, 7980310.63283998, False), (42, 14010646.68848446, 7980311.2330568, False), (44, 14010646.69704381, 7980311.88882602, False), (46, 14010646.70470944, 7980312.43555968, False), (48, 14010646.73917143, 7980312.98050294, False), (50, 14010646.74709731, 7980313.57776477, False), (52, 14010646.75985358, 7980314.16444504, False), (54, 14010646.81527576, 7980314.73991518, False)]",48,"[(False, 3), (True, 5), (False, 17)]",0.1503971599999999,,,Heliophile,Heliophile
3,"[(6, 14010647.23033662, 7980301.40443196, False), (8, 14010647.20553052, 7980301.76306226, False), (10, 14010647.21169931, 7980302.22237406, False), (12, 14010647.22427454, 7980302.86084491, False), (14, 14010647.2494326, 7980303.32121332, False), (16, 14010647.28459061, 7980303.90223495, False), (18, 14010647.33285102, 7980304.6564854, False), (20, 14010647.36673432, 7980305.22751957, False), (22, 14010647.37718058, 7980305.79320539, False), (24, 14010647.40434185, 7980306.40547754, False), (26, 14010647.42708415, 7980307.04185192, False), (28, 14010647.41511367, 7980307.53356198, False), (30, 14010647.40903488, 7980308.02799432, False), (32, 14010647.39817552, 7980308.62804204, False), (34, 14010647.40036566, 7980309.26374661, False), (36, 14010647.40352204, 7980309.82513975, False), (38, 14010647.40514472, 7980310.37782986, False), (40, 14010647.44270764, 7980310.86472273, False), (42, 14010647.52862656, 7980311.42443164, False), (44, 14010647.52764308, 7980312.02417503, False), (46, 14010647.53742365, 7980312.60969296, False), (48, 14010647.60812414, 7980313.17808985, False), (50, 14010647.68550251, 7980313.68272651, False), (52, 14010647.7450903, 7980314.2418096, False), (54, 14010647.83868168, 7980314.85951791, False)]",48,"[(False, 25)]",0.1503971599999999,Heliophile,,,Heliophile
4,"[(312, 14010646.26885231, 7980289.95059499, False), (314, 14010646.25210349, 7980290.67237088, False), (316, 14010646.25388726, 7980291.40892018, False), (318, 14010646.26749224, 7980292.25384349, False), (320, 14010646.26516195, 7980292.87154096, False), (322, 14010646.26070755, 7980293.5819229, False), (324, 14010646.25583584, 7980294.31486036, False), (326, 14010646.22636637, 7980295.00420717, False), (328, 14010646.17053251, 7980295.71106302, True), (330, 14010646.10655109, 7980296.40654565, True), (332, 14010646.03183712, 7980297.06233383, True), (334, 14010645.89017245, 7980297.53680791, True), (336, 14010645.74009957, 7980298.07579553, True), (338, 14010645.60737613, 7980298.65509766, True), (340, 14010645.48460547, 7980299.35203517, True), (342, 14010645.37315004, 7980300.020871, True), (344, 14010645.2802767, 7980300.65894061, True), (346, 14010645.20785285, 7980301.2720045, True), (348, 14010645.1416991, 7980301.949957, True), (350, 14010645.09525227, 7980302.74105204, True), (352, 14010645.0674145, 7980303.55310175, True), (354, 14010645.06659495, 7980304.30913458, True), (356, 14010645.07404477, 7980305.04120898, True), (358, 14010645.06323549, 7980305.75212703, True), (360, 14010645.03829606, 7980306.55336202, True), (362, 14010645.00767014, 7980307.38412876, True), (364, 14010644.99873566, 7980308.02847968, True), (366, 14010644.98808476, 7980308.68684736, True), (368, 14010644.99585979, 7980309.58815615, True), (370, 14010645.03678234, 7980310.57464949, True), (372, 14010645.05265347, 7980311.41296986, True), (374, 14010645.11416983, 7980312.20541809, True), (376, 14010645.1622403, 7980312.91316415, True), (378, 14010645.1467855, 7980313.63435508, True), (380, 14010645.15109054, 7980314.37625721, True), (382, 14010645.13794849, 7980314.96372379, False)]",70,"[(False, 8), (True, 27), (False, 1)]",0.15207221,,,Shade-chaser,Shade-chaser
5,"[(458, 14010645.60758603, 7980294.80591518, True), (460, 14010645.57268637, 7980295.20748119, True), (462, 14010645.66340639, 7980294.71433157, True), (464, 14010645.76768674, 7980294.12548975, True), (466, 14010645.82859197, 7980294.52498546, True), (468, 14010645.86700915, 7980295.08840602, True), (470, 14010645.9379319, 7980295.88108305, True), (472, 14010645.97907633, 7980296.59112773, True), (474, 14010645.98968359, 7980297.26309154, True), (476, 14010645.98805283, 7980297.88733314, True), (478, 14010645.98398415, 7980298.47026366, True), (480, 14010645.97441256, 7980299.13730522, True), (482, 14010645.97070675, 7980299.71268134, True), (484, 14010645.92828148, 7980300.18261856, True), (486, 14010645.8664367, 7980301.03023148, True), (488, 14010645.81575105, 7980301.7731297, True), (490, 14010645.77527248, 7980302.23094541, True), (492, 14010645.72770888, 7980302.77294793, True), (494, 14010645.70164201, 7980303.46294859, True), (496, 14010645.68902812, 7980303.9860051, True), (498, 14010645.67875902, 7980304.61324027, True), (500, 14010645.69224776, 7980305.32833283, True), (502, 14010645.73437603, 7980305.88747951, True), (504, 14010645.74749205, 7980306.52575805, True), (506, 14010645.72424744, 7980307.22447765, True), (508, 14010645.65558544, 7980307.77076075, True), (510, 14010645.57462333, 7980308.42759206, True), (512, 14010645.53130516, 7980309.16116131, False), (514, 14010645.48297633, 7980309.84233832, False), (516, 14010645.4530777, 7980310.6966959, False), (518, 14010645.4369343, 7980311.51113195, False), (520, 14010645.4341579, 7980312.14562609, False), (522, 14010645.44099506, 7980312.84384964, False), (524, 14010645.46798657, 7980313.53172618, False), (526, 14010645.51524766, 7980314.32263961, False), (528, 14010645.53202762, 7980314.95462665, False)]",70,"[(True, 27), (False, 9)]",0.15207221,,Sun-chaser,,Sun-chaser
6,"[(36, 14010652.0200568, 7980314.97287499, False), (38, 14010652.03041772, 7980314.52784569, False), (40, 14010652.03767671, 7980314.17855488, False), (42, 14010652.01944514, 7980313.67502105, False), (44, 14010652.01888826, 7980313.16294044, False), (46, 14010652.05589273, 7980312.6069491, False), (48, 14010652.07521677, 7980312.11182288, False), (50, 14010652.05076858, 7980311.60366551, False), (52, 14010651.97242668, 7980311.18666986, False), (54, 14010651.89436432, 7980310.85369443, False), (56, 14010651.85671239, 7980310.38658055, False), (58, 14010651.84753199, 7980309.86655938, False), (60, 14010651.80589684, 7980309.37171442, False), (62, 14010651.82670129, 7980308.84932086, False), (64, 14010651.79173759, 7980308.40399666, False), (66, 14010651.72954026, 7980307.94958543, False), (68, 14010651.75827768, 7980307.49533337, False), (70, 14010651.69645625, 7980307.14348247, False), (72, 14010651.61476005, 7980306.63681992, False), (74, 14010651.60213461, 7980306.06550765, False), (76, 14010651.62129019, 7980305.64752312, False), (78, 14010651.60465984, 7980305.1966178, False), (80, 14010651.56919532, 7980304.76627976, False), (82, 14010651.54802435, 7980304.36087816, False), (84, 14010651.5191481, 7980303.93687527, False), (86, 14010651.45354636, 7980303.45199253, False), (88, 14010651.38239216, 7980302.87944624, False), (90, 14010651.3293632, 7980302.46730148, False), (92, 14010651.2006019, 7980302.02638637, False), (94, 14010651.08554563, 7980301.61900116, False), (96, 14010651.00178428, 7980301.03893706, False), (98, 14010650.98781396, 7980300.71136134, False), (100, 14010650.9721478, 7980300.39580802, False), (102, 14010650.99953268, 7980300.05861308, False), (104, 14010651.08157958, 7980299.59397547, False), (106, 14010651.1431347, 7980299.23447301, False), (108, 14010651.19883126, 7980298.94039176, False), (110, 14010651.26557981, 7980298.60697116, False), (112, 14010651.28503112, 7980298.08270868, False), (114, 14010651.30532069, 7980297.7512059, False), (116, 14010651.30043109, 7980297.30082621, False), (118, 14010651.32942742, 7980296.78716265, False), (120, 14010651.37652086, 7980296.24994809, False), (122, 14010651.37550821, 7980295.85293235, False), (124, 14010651.37267396, 7980295.35369502, False), (126, 14010651.36727096, 7980295.03793418, False), (128, 14010651.36216466, 7980294.80962493, False), (130, 14010651.3735355, 7980294.36344715, False)]",94,"[(False, 48)]",0.15039716,Heliophile,,,Heliophile
7,"[(12, 14010646.05818704, 7980294.31651462, False), (14, 14010646.04686583, 7980294.88346503, False), (16, 14010646.02454788, 7980295.32634281, False), (18, 14010646.01580459, 7980295.76761083, True), (20, 14010646.02350027, 7980296.21579957, True), (22, 14010646.0287342, 7980296.79537578, False), (24, 14010646.00449974, 7980297.24114684, True), (26, 14010645.9555332, 7980297.59898997, True), (28, 14010645.93691002, 7980298.09434413, True), (30, 14010645.90464205, 7980298.54830771, True), (32, 14010645.88824251, 7980298.99437799, True), (34, 14010645.84241543, 7980299.68321571, True), (36, 14010645.80808804, 7980300.02652143, True), (38, 14010645.78753161, 7980300.4823303, True), (40, 14010645.76521709, 7980301.1417901, True), (42, 14010645.75010344, 7980301.72435848, True), (44, 14010645.76067656, 7980302.21752366, True), (46, 14010645.7667227, 7980302.73679805, True), (48, 14010645.75456949, 7980303.15397209, True), (50, 14010645.73322488, 7980303.69192315, True), (52, 14010645.71179896, 7980304.23360609, True), (54, 14010645.68770757, 7980304.67264005, True), (56, 14010645.70071502, 7980305.20284929, True), (58, 14010645.71121915, 7980305.63451355, True), (60, 14010645.75330408, 7980306.146714, True), (62, 14010645.79876304, 7980306.6752985, True), (64, 14010645.82561665, 7980307.17738043, True), (66, 14010645.86524074, 7980307.66969697, True), (68, 14010645.91354068, 7980308.29098459, True), (70, 14010645.9413483, 7980308.64940364, True), (72, 14010645.97563515, 7980309.28952816, False), (74, 14010645.98863424, 7980309.96348495, False), (76, 14010645.96403922, 7980310.45095093, False), (78, 14010645.9368313, 7980310.92970695, False), (80, 14010645.96409031, 7980311.49351987, False), (82, 14010645.972002, 7980311.9260267, False), (84, 14010645.96218293, 7980312.51664797, False), (86, 14010645.97178551, 7980312.91513188, False), (88, 14010645.98161736, 7980313.49495387, False), (90, 14010645.98097679, 7980314.06303212, False), (92, 14010645.98094249, 7980314.41478017, False), (94, 14010646.01172756, 7980314.85062843, False)]",82,"[(False, 3), (True, 2), (False, 1), (True, 24), (False, 12)]",0.15039716,,,Sun-chaser,Sun-chaser
8,"[(22, 14010644.71050787, 7980293.08352674, True), (24, 14010644.68549707, 7980293.52556565, True), (26, 14010644.6451665, 7980293.73173175, True), (28, 14010644.650923, 7980294.55077201, True), (30, 14010644.66783594, 7980295.51488048, True), (32, 14010644.71036477, 7980296.17086123, True), (34, 14010644.86593439, 7980296.51399603, True), (36, 14010645.06717591, 7980296.29049951, True), (38, 14010645.23014804, 7980296.28201129, True), (40, 14010645.3346767, 7980296.60188272, True), (42, 14010645.3761533, 7980296.96558512, True), (44, 14010645.41360666, 7980297.41765668, True), (46, 14010645.44564718, 7980297.81235948, True), (48, 14010645.5090315, 7980298.00326506, True), (50, 14010645.57709121, 7980298.08552368, True), (52, 14010645.60248834, 7980298.01717306, True), (54, 14010645.67690272, 7980297.97537297, True), (56, 14010645.77443195, 7980297.76217409, True), (58, 14010645.83484346, 7980297.89306357, True), (60, 14010645.85047757, 7980297.96835337, True), (62, 14010645.77801148, 7980297.92065378, True), (64, 14010645.73852909, 7980297.89210646, True), (66, 14010645.81149029, 7980298.04770524, True), (68, 14010645.92927152, 7980298.40796405, True), (70, 14010646.02104088, 7980298.86210518, True), (72, 14010646.09255811, 7980299.50953129, True), (74, 14010646.17351586, 7980299.88067508, False), (76, 14010646.252087, 7980300.03427477, False), (78, 14010646.29988406, 7980300.18269023, False), (80, 14010646.34377544, 7980300.35934557, False), (82, 14010646.42490639, 7980300.65475544, False), (84, 14010646.51691709, 7980300.93993234, False), (86, 14010646.57326091, 7980301.00348506, False), (88, 14010646.61155832, 7980300.96301699, False), (90, 14010646.6244119, 7980300.98168727, False), (92, 14010646.60765808, 7980301.02055022, False), (94, 14010646.59500928, 7980301.03213459, False), (96, 14010646.58801611, 7980301.03139588, False), (98, 14010646.59530069, 7980301.03816811, False), (100, 14010646.6037386, 7980300.98859379, False), (102, 14010646.58707745, 7980300.9424308, False), (104, 14010646.56857358, 7980300.91336514, False), (106, 14010646.57697638, 7980300.97811486, False), (108, 14010646.51751581, 7980300.99703355, False), (110, 14010646.50509239, 7980300.96326873, False), (112, 14010646.49146368, 7980301.09680975, False), (114, 14010646.48199084, 7980301.36799477, False), (116, 14010646.51027572, 7980301.5140114, False), (118, 14010646.56634372, 7980301.70496781, False), (120, 14010646.69947286, 7980301.98795207, False), (122, 14010646.77648152, 7980302.4181249, False), (124, 14010646.81405852, 7980302.74385889, False), (126, 14010646.81510214, 7980302.9844376, False), (128, 14010646.81779738, 7980303.43423886, True), (130, 14010646.79037983, 7980304.11058421, True), (132, 14010646.7694122, 7980304.78140258, True), (134, 14010646.77240144, 7980305.5005256, False), (136, 14010646.76175309, 7980306.10467792, False), (138, 14010646.76460503, 7980306.68417621, False), (140, 14010646.73168841, 7980307.29869292, False), (142, 14010646.69468347, 7980307.88537917, False), (144, 14010646.69676328, 7980308.5278605, False), (146, 14010646.7575861, 7980308.92124002, False), (148, 14010646.75735751, 7980309.63558443, False), (150, 14010646.74305903, 7980310.49397044, False), (152, 14010646.67422835, 7980311.26588937, False), (154, 14010646.58361381, 7980311.92118007, False), (156, 14010646.4933899, 7980312.52967853, False), (158, 14010646.44346818, 7980313.04620279, False), (160, 14010646.38044406, 7980313.73832791, False), (162, 14010646.40835186, 7980314.34043377, False), (164, 14010646.4470032, 7980314.93020479, False)]",142,"[(True, 26), (False, 27), (True, 3), (False, 16)]",0.15039716,,,Sun-chaser,Sun-chaser
9,"[(32, 14010648.47287572, 7980314.78919144, False), (34, 14010648.48936013, 7980314.0759611, False), (36, 14010648.52394589, 7980313.25257939, False), (38, 14010648.52244583, 7980312.63200637, False), (40, 14010648.55762609, 7980311.84743265, False), (42, 14010648.52695955, 7980311.13338939, False), (44, 14010648.40770121, 7980310.4834074, False), (46, 14010648.4209731, 7980309.28342716, False), (48, 14010648.39658402, 7980308.1323028, False), (50, 14010648.20703508, 7980307.85203267, False), (52, 14010648.05674535, 7980307.52113266, False), (54, 14010647.95715926, 7980307.25435115, False), (56, 14010647.89775176, 7980306.74263875, False), (58, 14010647.82568895, 7980306.00647098, False), (60, 14010647.7277535, 7980305.46036162, False), (62, 14010647.68680428, 7980304.78437752, False), (64, 14010647.65809796, 7980304.04304791, False), (66, 14010647.59496334, 7980303.50222189, False), (68, 14010647.54587186, 7980302.78710417, False), (70, 14010647.59839774, 7980302.20884918, False), (72, 14010647.6197913, 7980301.70969452, False), (74, 14010647.62786342, 7980301.06482678, False), (76, 14010647.59494652, 7980300.39970894, False), (78, 14010647.54958408, 7980299.84546492, False), (80, 14010647.48215524, 7980299.18167012, False), (82, 14010647.419918, 7980298.52305224, False), (84, 14010647.34197187, 7980298.04155915, False), (86, 14010647.24822276, 7980297.3343675, False), (88, 14010647.16861605, 7980296.50873963, False), (90, 14010647.3520849, 7980292.49427936, False), (92, 14010647.44200467, 7980289.17315386, False), (94, 14010647.45921113, 7980286.32980573, False)]",62,"[(False, 32)]",0.15039716,Heliophile,,,Heliophile
10,"[(308, 14010645.2554403, 7980284.0416692, True), (310, 14010645.2925789, 7980283.50948577, True), (312, 14010645.30156166, 7980284.21249003, True), (314, 14010645.31726539, 7980283.75976223, True), (316, 14010645.32041759, 7980282.808812, True), (318, 14010645.30888054, 7980282.11417889, True), (320, 14010645.31266794, 7980281.43490476, True), (322, 14010645.27846427, 7980281.15739537, True), (324, 14010645.2968206, 7980280.86825185, True), (326, 14010645.34181106, 7980280.54622854, True), (328, 14010645.37680223, 7980279.82300656, False), (330, 14010645.35185543, 7980279.48208939, False), (332, 14010645.2897639, 7980278.81578859, False), (334, 14010645.245366, 7980278.37670628, False), (336, 14010645.20733633, 7980277.32056578, False), (338, 14010645.16237252, 7980276.48082518, False)]",30,"[(True, 10), (False, 6)]",0.15207221,,Sun-chaser,,Sun-chaser
