person_id,trajectory,duration_frames,shadow_segments,avg_shadow_proportion,transition_0,transition_1,transition_2,category
4,"[(30, 14010647.42951615, 7980294.24842119, False), (32, 14010647.53735552, 7980295.13131676, False), (34, 14010647.58195197, 7980296.23365224, False), (36, 14010647.6449273, 7980297.60003719, False), (38, 14010647.65659362, 7980298.93944607, False), (40, 14010647.69851148, 7980300.36937743, False), (42, 14010647.72863211, 7980301.65910398, False), (44, 14010647.79703109, 7980303.01026854, False), (46, 14010647.87501482, 7980304.25150523, False), (48, 14010647.93130373, 7980305.30687683, False), (50, 14010648.0190006, 7980306.23546545, False), (52, 14010648.06310527, 7980307.17189877, False), (54, 14010648.12431282, 7980307.90730547, False), (56, 14010648.1831904, 7980308.61924283, False), (58, 14010648.1863169, 7980309.43433971, False), (60, 14010648.15070365, 7980310.32159676, False), (62, 14010648.13199693, 7980311.15583391, False), (64, 14010648.09343724, 7980311.93240804, False), (66, 14010648.08350961, 7980312.6648278, False), (68, 14010648.09088876, 7980313.52229303, False), (70, 14010648.12299651, 7980314.36872711, False)]",40,"[(False, 21)]",0.1162135599999999,Heliophile,,,Heliophile
5,"[(2, 14010647.59493171, 7980273.29399806, False), (4, 14010647.59493171, 7980273.29399806, False), (6, 14010647.9428182, 7980273.39079489, False), (8, 14010648.20268099, 7980273.79099305, False), (10, 14010648.43410678, 7980274.50767681, False), (12, 14010648.70366303, 7980274.95785727, False), (14, 14010648.93523647, 7980275.39519083, False), (16, 14010649.1824314, 7980275.90010974, False), (18, 14010649.41790756, 7980276.39483773, False), (20, 14010649.66476468, 7980276.69137909, False), (22, 14010649.85917712, 7980277.22429552, False), (24, 14010650.01624824, 7980277.40537731, False), (26, 14010650.17303277, 7980277.66596276, False), (28, 14010650.31630557, 7980277.94625683, False), (30, 14010650.38930695, 7980278.31320133, False), (32, 14010650.43249834, 7980278.72045917, False), (34, 14010650.46855946, 7980279.13990502, False), (36, 14010650.50686405, 7980279.55874823, False), (38, 14010650.54947722, 7980279.97331399, False), (40, 14010650.62480504, 7980280.22934633, False), (42, 14010650.63872999, 7980280.45921935, False), (44, 14010650.62238187, 7980280.68891191, False), (46, 14010650.603742, 7980280.93920952, False), (48, 14010650.58276178, 7980281.38495348, False), (50, 14010650.553178, 7980281.70166493, False), (52, 14010650.58740028, 7980281.88327872, False), (54, 14010650.59556624, 7980282.26494984, False), (56, 14010650.58764597, 7980282.74932919, False), (58, 14010650.57227462, 7980283.27104959, False), (60, 14010650.5748675, 7980283.64393117, False), (62, 14010650.63572154, 7980283.85501405, False), (64, 14010650.70182494, 7980284.13511324, False), (66, 14010650.77071902, 7980284.29687606, False), (68, 14010650.8067049, 7980284.51730186, False), (70, 14010650.8260753, 7980284.77476444, False), (72, 14010650.83957017, 7980285.04978593, False), (74, 14010650.85249949, 7980285.33033009, False), (76, 14010650.82923753, 7980285.6998047, False), (78, 14010650.82395363, 7980286.00361682, False), (80, 14010650.81054415, 7980286.39073585, False), (82, 14010650.79386118, 7980286.81115133, False), (84, 14010650.79553039, 7980287.11723909, False), (86, 14010650.79270933, 7980287.34012498, False), (88, 14010650.76812565, 7980287.64547468, False), (90, 14010650.74182762, 7980288.15163748, False), (92, 14010650.7529388, 7980288.51678924, False), (94, 14010650.71990576, 7980288.9720457, False), (96, 14010650.63987292, 7980289.41928261, False), (98, 14010650.54202723, 7980289.85080061, False), (100, 14010650.4587052, 7980290.16539733, False), (102, 14010650.35750212, 7980290.50368766, False), (104, 14010650.29116454, 7980290.79886438, False), (106, 14010650.21173904, 7980291.26595406, False), (108, 14010650.14149151, 7980291.71184074, False), (110, 14010650.14283945, 7980292.00471758, False), (112, 14010650.13391311, 7980292.38449368, False), (114, 14010650.16534008, 7980292.7729942, False), (116, 14010650.22727465, 7980293.07184655, False), (118, 14010650.29512374, 7980293.42873822, False), (120, 14010650.35233576, 7980293.69422006, False), (122, 14010650.42450412, 7980293.94921566, False), (124, 14010650.52474988, 7980294.2368884, False), (126, 14010650.5643751, 7980294.53621551, False), (128, 14010650.60500879, 7980294.81449627, False), (130, 14010650.64930186, 7980295.08203448, False), (132, 14010650.69678397, 7980295.34570408, False), (134, 14010650.72445716, 7980295.63759607, False), (136, 14010650.77903471, 7980295.8970172, False), (138, 14010650.81505172, 7980296.09184158, False), (140, 14010650.85612901, 7980296.18543468, False), (142, 14010650.8431097, 7980296.24980378, False), (144, 14010650.81607295, 7980296.32622542, False), (146, 14010650.80778115, 7980296.44516453, False)]",144,"[(False, 73)]",0.11621356,Heliophile,,,Heliophile
7,"[(2, 14010649.70324326, 7980293.28603529, False), (4, 14010649.89753603, 7980292.97758147, False), (6, 14010649.97310319, 7980293.18512389, False), (8, 14010650.01959712, 7980293.54320007, False), (10, 14010650.05561586, 7980294.12789075, False), (12, 14010650.09913909, 7980294.78907458, False), (14, 14010650.11000173, 7980295.49845029, False), (16, 14010650.10415752, 7980296.28310613, False), (18, 14010650.108749, 7980296.91392013, False), (20, 14010650.12584229, 7980297.62520374, False), (22, 14010650.16335966, 7980298.21513605, False), (24, 14010650.21325642, 7980298.89504304, False), (26, 14010650.29529074, 7980299.34184998, False), (28, 14010650.38953489, 7980299.89466881, False), (30, 14010650.47714549, 7980300.41576818, False), (32, 14010650.53602156, 7980300.95181578, False), (34, 14010650.63644142, 7980301.487414, False), (36, 14010650.7109734, 7980301.95640296, False), (38, 14010650.76680027, 7980302.4431535, False), (40, 14010650.83879074, 7980302.96014807, False), (42, 14010650.92592878, 7980303.48757908, False), (44, 14010651.02097297, 7980303.95312815, False), (46, 14010651.09312448, 7980304.67069023, False), (48, 14010651.15107101, 7980305.37170521, False), (50, 14010651.17245537, 7980305.99346176, False), (52, 14010651.18198227, 7980306.60210704, False), (54, 14010651.21730602, 7980307.12941854, False), (56, 14010651.21713558, 7980307.72097759, False), (58, 14010651.26042634, 7980308.30680088, False), (60, 14010651.34621338, 7980308.85376001, False), (62, 14010651.38023475, 7980309.57810332, False), (64, 14010651.47584099, 7980310.20374792, False), (66, 14010651.57213932, 7980310.79118428, False), (68, 14010651.63057851, 7980311.42674192, False), (70, 14010651.74828502, 7980311.96513817, False), (72, 14010652.34729745, 7980311.54492575, False), (74, 14010652.1992327, 7980312.57955603, False), (76, 14010652.069835, 7980313.49611662, False), (78, 14010651.97008376, 7980314.25772583, False)]",76,"[(False, 39)]",0.11621356,Heliophile,,,Heliophile
9,"[(102, 14010644.63502804, 7980314.98072682, False), (104, 14010644.65976843, 7980313.83476918, False), (106, 14010644.68994094, 7980312.81527475, True), (108, 14010644.69805739, 7980311.8564392, True), (110, 14010644.72353489, 7980311.41012869, True), (112, 14010644.76520546, 7980310.92263636, True), (114, 14010644.81370278, 7980310.85201251, True), (116, 14010644.93852559, 7980309.29406934, False), (118, 14010645.08767937, 7980307.76307652, True), (120, 14010645.23940616, 7980306.36991612, True), (122, 14010645.40445541, 7980305.24569706, True), (124, 14010645.60007007, 7980304.40819836, True), (126, 14010645.87406852, 7980302.45277613, True), (128, 14010646.11493982, 7980301.03739157, True), (130, 14010646.35708102, 7980300.74314947, False), (132, 14010646.53860872, 7980300.33443872, False), (134, 14010646.61572596, 7980299.03483284, False), (136, 14010646.75715343, 7980298.0335743, False), (138, 14010646.81773837, 7980296.73744569, False), (140, 14010646.88583602, 7980295.01521712, False), (142, 14010646.96464345, 7980293.04977466, False), (144, 14010647.01541758, 7980291.62423718, False), (146, 14010647.05701317, 7980290.00179627, False), (148, 14010647.06125099, 7980288.68872831, False), (150, 14010647.06577633, 7980287.24128389, False), (152, 14010647.17226989, 7980285.21522712, False), (154, 14010647.11554936, 7980284.19843897, False), (156, 14010647.05881377, 7980282.90862096, False), (158, 14010647.06004244, 7980281.77855445, False), (160, 14010647.09492417, 7980280.33263844, False), (162, 14010647.10877403, 7980278.57706592, False), (164, 14010647.18694123, 7980276.33203321, False), (166, 14010647.22301766, 7980275.12679035, False), (168, 14010647.22637932, 7980274.20213322, False), (170, 14010647.15684314, 7980272.74489398, False), (172, 14010647.15953855, 7980270.62890827, False)]",70,"[(False, 2), (True, 5), (False, 1), (True, 6), (False, 22)]",0.11621356,,,Sun-chaser,Sun-chaser
10,"[(1924, 14010649.58071374, 7980270.63709198, False), (1926, 14010649.57545042, 7980271.40218654, False), (1928, 14010649.57502364, 7980271.46422588, False), (1930, 14010649.57295195, 7980271.76537366, False), (1932, 14010649.65332623, 7980272.0361658, False), (1934, 14010649.5398144, 7980273.6202336, False), (1936, 14010649.44344211, 7980275.15319005, False), (1938, 14010649.43864909, 7980276.24307221, False), (1940, 14010649.48042693, 7980276.85091614, False), (1942, 14010649.5522029, 7980277.59298883, False), (1944, 14010649.63176712, 7980278.43798885, False), (1946, 14010649.71049906, 7980279.00595484, False), (1948, 14010649.79628714, 7980279.86673805, False), (1950, 14010649.86548813, 7980280.8204108, False), (1952, 14010649.89575064, 7980281.53702626, False), (1954, 14010649.90593526, 7980282.30031989, False), (1956, 14010649.92514593, 7980283.10559542, False), (1958, 14010649.97156528, 7980283.60795747, False), (1960, 14010649.97732628, 7980284.37298864, False), (1962, 14010649.98060428, 7980285.12412276, False), (1964, 14010649.96788472, 7980285.96882653, False), (1966, 14010649.95225459, 7980286.68451463, False), (1968, 14010649.93487152, 7980287.4597726, False), (1970, 14010649.95027628, 7980288.02122811, False), (1972, 14010649.92237287, 7980288.65165514, False), (1974, 14010649.93926082, 7980289.41967884, False), (1976, 14010649.98275328, 7980289.98482155, False), (1978, 14010650.0353297, 7980290.44131871, False), (1980, 14010650.0673614, 7980291.18226041, False), (1982, 14010650.0954224, 7980291.70377836, False), (1984, 14010650.09203744, 7980292.28708939, False), (1986, 14010650.14611934, 7980293.00107907, False), (1988, 14010650.20357997, 7980293.71836905, False), (1990, 14010650.25603351, 7980294.09827986, False), (1992, 14010650.3027135, 7980294.72003069, False), (1994, 14010650.34495217, 7980295.45088427, False), (1996, 14010650.40542813, 7980296.23214811, False), (1998, 14010650.45505475, 7980296.88871959, False), (2000, 14010650.50780899, 7980297.73259998, False), (2002, 14010650.53069412, 7980298.35051305, False), (2004, 14010650.59475252, 7980298.9946233, False), (2006, 14010650.66769662, 7980299.6291244, False), (2008, 14010650.71282417, 7980300.20886685, False), (2010, 14010650.76837788, 7980300.64439441, False), (2012, 14010650.84432086, 7980301.23600089, False), (2014, 14010650.88699347, 7980301.77622322, False), (2016, 14010650.93797471, 7980302.30693919, False), (2018, 14010651.01842701, 7980302.97146418, False), (2020, 14010651.08085021, 7980303.58221039, False), (2022, 14010651.10018277, 7980304.32399072, False), (2024, 14010651.1151582, 7980304.90394161, False), (2026, 14010651.17584914, 7980305.53585263, False), (2028, 14010651.26412557, 7980306.08854265, False), (2030, 14010651.30860192, 7980306.71507311, False), (2032, 14010651.38489166, 7980307.32814735, False), (2034, 14010651.4806819, 7980307.91821184, False), (2036, 14010651.58269867, 7980308.51828142, False), (2038, 14010651.69005551, 7980309.25442179, False), (2040, 14010651.78817692, 7980309.70134312, False), (2042, 14010651.85440854, 7980310.4061415, False), (2044, 14010651.88961052, 7980311.03389276, False), (2046, 14010651.89257787, 7980311.7164621, False), (2048, 14010651.89417086, 7980312.2918146, False), (2050, 14010651.88939134, 7980312.88428937, False), (2052, 14010651.92648382, 7980313.47293229, False), (2054, 14010651.94978272, 7980314.0294378, False), (2056, 14010652.00347848, 7980314.63746388, False)]",132,"[(False, 67)]",0.2073941040298507,Heliophile,,,Heliophile
11,"[(178, 14010650.66085062, 7980284.50767756, False), (180, 14010650.67341203, 7980284.77008855, False), (182, 14010650.59094428, 7980285.51240686, False), (184, 14010650.53862089, 7980286.17112406, False), (186, 14010650.45278856, 7980286.70574561, False), (188, 14010650.34266469, 7980287.16410501, False), (190, 14010650.21138299, 7980287.56425254, False), (192, 14010650.07473644, 7980287.94088543, False), (194, 14010649.92693844, 7980288.28791781, False), (196, 14010649.80464212, 7980288.66814838, False), (198, 14010649.72567222, 7980288.97773901, False), (200, 14010649.69246916, 7980289.29588402, False), (202, 14010649.67659756, 7980289.61943902, False), (204, 14010649.66195361, 7980290.06623662, False), (206, 14010649.67142418, 7980290.48228559, False), (208, 14010649.66272138, 7980290.94735013, False), (210, 14010649.68230183, 7980291.36864976, False), (212, 14010649.6617998, 7980291.90629044, False), (214, 14010649.64747346, 7980292.41426335, False), (216, 14010649.63802905, 7980292.89205189, False), (218, 14010649.61827832, 7980293.4308393, False), (220, 14010649.60712792, 7980293.90435127, False), (222, 14010649.56387083, 7980294.47969902, False), (224, 14010649.50800419, 7980294.99593246, False), (226, 14010649.46097793, 7980295.48556593, False), (228, 14010649.40913183, 7980296.0273692, False), (230, 14010649.39048928, 7980296.45648564, False), (232, 14010649.34343594, 7980296.93402149, False), (234, 14010649.29356085, 7980297.36294237, False), (236, 14010649.25502433, 7980297.69735542, False), (238, 14010649.21218534, 7980298.12873908, False), (240, 14010649.15772851, 7980298.66305376, False), (242, 14010649.14972418, 7980299.21829762, False), (244, 14010649.18315514, 7980299.78500797, False), (246, 14010649.20246816, 7980300.16831855, False), (248, 14010649.22010491, 7980300.60215014, False), (250, 14010649.25438706, 7980301.01919896, False), (252, 14010649.26673314, 7980301.51152487, False), (254, 14010649.31315366, 7980302.02061679, False), (256, 14010649.36515181, 7980302.56645296, False), (258, 14010649.4085081, 7980302.99221032, False), (260, 14010649.44578073, 7980303.35201059, False), (262, 14010649.4609385, 7980303.8173378, False), (264, 14010649.4590579, 7980304.21684269, False), (266, 14010649.46772876, 7980304.59292973, False), (268, 14010649.45784694, 7980305.02087818, False), (270, 14010649.52717816, 7980305.50913186, False), (272, 14010649.58523403, 7980305.96132635, False), (274, 14010649.6563293, 7980306.3215261, False), (276, 14010649.7316443, 7980306.87958741, False), (278, 14010649.79320467, 7980307.38332782, False), (280, 14010649.88570746, 7980307.72727369, False), (282, 14010649.94716036, 7980308.20598461, False), (284, 14010650.04308248, 7980308.64839701, False), (286, 14010650.08818748, 7980309.13208404, False), (288, 14010650.15528651, 7980309.72425088, False), (290, 14010650.24270342, 7980310.25751802, False), (292, 14010650.3061524, 7980310.71239416, False), (294, 14010650.34882381, 7980311.221519, False), (296, 14010650.42262212, 7980311.74825066, False), (298, 14010650.4745954, 7980312.25684389, False), (300, 14010650.4757221, 7980312.92997403, False), (302, 14010650.51734948, 7980313.4139606, False), (304, 14010650.55408539, 7980314.00678324, False), (306, 14010650.58425508, 7980314.63699245, False)]",128,"[(False, 65)]",0.1313515784615384,Heliophile,,,Heliophile
13,"[(596, 14010644.21117013, 7980293.18066889, False), (598, 14010644.21192216, 7980293.64277824, True), (600, 14010644.19457655, 7980293.97643901, False), (602, 14010644.23773998, 7980294.36591289, True), (604, 14010644.29531776, 7980294.7691798, True), (606, 14010644.36882122, 7980295.18239148, True), (608, 14010644.42005914, 7980295.70535229, True), (610, 14010644.49592286, 7980296.30645697, True), (612, 14010644.5846566, 7980296.58249122, True), (614, 14010644.64920904, 7980296.93961986, True), (616, 14010644.70269951, 7980297.14906881, True), (618, 14010644.75762632, 7980297.69079401, True), (620, 14010644.78195674, 7980298.09250494, True), (622, 14010644.81155499, 7980298.67185649, True), (624, 14010644.83487321, 7980299.24510069, True), (626, 14010644.87893537, 7980299.75823813, True), (628, 14010644.9321566, 7980300.2277177, True), (630, 14010644.9739172, 7980300.76052365, True), (632, 14010645.02287709, 7980301.17307093, True), (634, 14010645.04809059, 7980301.69313852, True), (636, 14010645.05437234, 7980302.15081983, True), (638, 14010645.06488445, 7980302.53175864, True), (640, 14010645.06119675, 7980303.12220487, True), (642, 14010645.0586906, 7980303.58595523, True), (644, 14010645.05423844, 7980304.09076926, True), (646, 14010645.09930168, 7980304.53065454, True), (648, 14010645.16894873, 7980305.08423521, True), (650, 14010645.21650305, 7980305.46758522, True), (652, 14010645.27202808, 7980306.06151292, True), (654, 14010645.3630409, 7980306.56441013, True), (656, 14010645.43904598, 7980307.04361577, True), (658, 14010645.49470956, 7980307.64358536, True), (660, 14010645.54578826, 7980308.16548164, True), (662, 14010645.59133791, 7980308.79013836, False), (664, 14010645.67265361, 7980309.41372033, False), (666, 14010645.6768239, 7980309.83871836, False), (668, 14010645.68236153, 7980310.23761187, False), (670, 14010645.75572272, 7980310.9542487, False), (672, 14010645.79233302, 7980311.44483253, False), (674, 14010645.78465715, 7980311.98005793, False), (676, 14010645.81642166, 7980312.44889107, False), (678, 14010645.84597545, 7980313.07547954, False), (680, 14010645.8428729, 7980313.62630249, False), (682, 14010645.84674033, 7980314.12524113, False), (684, 14010645.92617714, 7980314.63836444, False)]",88,"[(False, 1), (True, 1), (False, 1), (True, 30), (False, 12)]",0.13123293,,,Sun-chaser,Sun-chaser
14,"[(8, 14010651.05709306, 7980304.04373136, False), (10, 14010651.05832417, 7980304.50180525, False), (12, 14010651.13033835, 7980305.16732692, False), (14, 14010651.21584442, 7980305.7261854, False), (16, 14010651.29229874, 7980306.22837546, False), (18, 14010651.36935441, 7980306.79539216, False), (20, 14010651.46037757, 7980307.43120963, False), (22, 14010651.54069234, 7980308.05743059, False), (24, 14010651.63759841, 7980308.56173725, False), (26, 14010651.75600887, 7980309.0863396, False), (28, 14010651.86134934, 7980309.48576132, False), (30, 14010651.90995368, 7980310.04996375, False), (32, 14010651.9460443, 7980310.74588773, False), (34, 14010651.95626005, 7980311.32116971, False), (36, 14010651.98447365, 7980311.94533916, False), (38, 14010652.01706139, 7980312.55851199, False), (40, 14010652.02061569, 7980313.11149437, False), (42, 14010652.0448839, 7980313.64203387, False), (44, 14010652.07541949, 7980314.16173513, False), (46, 14010652.09541824, 7980314.68744048, False)]",38,"[(False, 20)]",0.1162135599999999,Heliophile,,,Heliophile
16,"[(52, 14010645.69776544, 7980314.39266223, False), (54, 14010645.6474884, 7980313.60608225, False), (56, 14010645.62157783, 7980312.91966551, False), (58, 14010645.52430252, 7980312.19831444, False), (60, 14010645.5385437, 7980311.49006415, False), (62, 14010645.5344409, 7980310.842533, False), (64, 14010645.53215877, 7980310.13589207, False), (66, 14010645.48438374, 7980309.44351101, False), (68, 14010645.49287662, 7980308.78971792, False), (70, 14010645.42723513, 7980307.97739961, True), (72, 14010645.3354315, 7980307.35816526, True), (74, 14010645.27742259, 7980306.59900087, True), (76, 14010645.23219672, 7980306.02823507, True), (78, 14010645.16724824, 7980305.22088351, True), (80, 14010645.13774908, 7980304.67844106, True), (82, 14010645.08160214, 7980303.85170903, True), (84, 14010645.03211654, 7980303.28351714, True), (86, 14010644.98656854, 7980302.84780668, True), (88, 14010644.9727142, 7980301.66158382, True), (90, 14010644.9263646, 7980300.95193949, True), (92, 14010644.87821115, 7980300.72731271, True), (94, 14010644.86523075, 7980300.1099268, True), (96, 14010644.91822114, 7980296.31340189, True), (98, 14010644.90628733, 7980293.22178882, True)]",46,"[(False, 9), (True, 15)]",0.11621356,,Shade-chaser,,Shade-chaser
19,"[(282, 14010652.44213576, 7980299.99245873, False), (284, 14010652.21370173, 7980301.28440627, False), (286, 14010652.09323472, 7980302.08787603, False), (288, 14010651.92664219, 7980302.88405006, False), (290, 14010651.79844859, 7980303.51051118, False), (292, 14010651.77081094, 7980303.86432851, False), (294, 14010651.77466572, 7980304.03510034, False), (296, 14010651.77811918, 7980304.13495179, False), (298, 14010651.7648869, 7980304.15899957, False), (300, 14010651.76942751, 7980304.14467745, False), (302, 14010651.77389746, 7980304.11909158, False), (304, 14010651.77678797, 7980304.09900304, False), (306, 14010651.78596155, 7980304.09681457, False), (308, 14010651.78996558, 7980304.09621624, False), (310, 14010651.83521783, 7980304.09172547, False), (312, 14010651.89382534, 7980304.13597702, False), (314, 14010651.90014092, 7980304.30681293, False), (316, 14010651.9237694, 7980304.5248939, False), (318, 14010651.94251913, 7980304.73323613, False), (320, 14010651.93307835, 7980305.00325408, False), (322, 14010651.95174258, 7980305.23452783, False), (324, 14010651.96699327, 7980305.52166324, False), (326, 14010651.96173795, 7980305.90776112, False), (328, 14010651.96993546, 7980306.20544514, False), (330, 14010651.97861832, 7980306.63052705, False), (332, 14010651.96986361, 7980306.99343562, False), (334, 14010651.93486925, 7980307.33748811, False), (336, 14010651.94277657, 7980307.55090029, False), (338, 14010651.89261826, 7980307.91432064, False), (340, 14010651.82735214, 7980308.31497205, False), (342, 14010651.78165153, 7980308.66131427, False), (344, 14010651.75034114, 7980309.00987666, False), (346, 14010651.73228866, 7980309.35832949, False), (348, 14010651.77059184, 7980309.5742862, False), (350, 14010651.78358164, 7980309.78488955, False), (352, 14010651.84220448, 7980310.22349934, False), (354, 14010651.89134781, 7980310.75692535, False), (356, 14010651.89796434, 7980311.26893154, False), (358, 14010651.92180494, 7980311.66182126, False), (360, 14010651.92757228, 7980312.04431455, False), (362, 14010651.90585096, 7980312.42543857, False), (364, 14010651.92282852, 7980312.7148871, False), (366, 14010651.92958515, 7980313.03134775, False), (368, 14010651.90841285, 7980313.38604751, False), (370, 14010651.89890082, 7980313.67897319, False), (372, 14010651.91442254, 7980313.92868114, False), (374, 14010651.90547526, 7980314.2329523, False), (376, 14010651.89990562, 7980314.52946243, False), (378, 14010651.90577819, 7980314.82017746, False), (380, 14010652.03584694, 7980314.89058546, False)]",98,"[(False, 50)]",0.13158811,Heliophile,,,Heliophile
