person_id,trajectory,duration_frames,shadow_segments,avg_shadow_proportion,transition_0,transition_1,transition_2,category
1,"[(6, 14010645.95682749, 7980281.90992685, False), (8, 14010645.46877514, 7980298.62040852, False), (10, 14010645.39679911, 7980304.20672992, True), (12, 14010645.48997139, 7980305.07907711, True), (14, 14010645.66430903, 7980304.02371476, False), (16, 14010645.79683104, 7980303.44939919, False), (18, 14010645.97629903, 7980303.1621791, False), (20, 14010646.17055198, 7980303.22754518, False), (22, 14010646.3646565, 7980303.54285001, False), (24, 14010646.54173212, 7980304.54154881, False), (26, 14010646.60427429, 7980305.51970084, False), (28, 14010646.70538488, 7980306.29768798, False), (30, 14010646.83220625, 7980307.043182, False), (32, 14010646.88301678, 7980307.86239287, False), (34, 14010646.9996988, 7980308.40169095, False), (36, 14010647.12224024, 7980309.12438051, False), (38, 14010647.21452228, 7980309.90896456, False), (40, 14010647.30696456, 7980310.51898518, False), (42, 14010647.38376102, 7980311.17555289, False), (44, 14010647.46343876, 7980311.90013406, False), (46, 14010647.55709486, 7980312.50795487, False), (48, 14010647.62710552, 7980312.9784604, False), (50, 14010647.83845246, 7980313.34379473, False), (52, 14010647.9081555, 7980314.22457302, False)]",46,"[(False, 2), (True, 2), (False, 20)]",0.07547181,,,Heliophile,Heliophile
8,"[(64, 14010644.92581521, 7980314.54764023, True), (66, 14010644.92124381, 7980313.61677367, True), (68, 14010644.87034253, 7980312.54960375, True), (70, 14010644.85801095, 7980311.90160083, True), (72, 14010644.8330665, 7980312.03496789, True), (74, 14010644.78257206, 7980312.16383584, True), (76, 14010644.73670096, 7980311.87874425, True), (78, 14010644.71421008, 7980311.05524994, True), (80, 14010644.7042463, 7980310.11710239, True), (82, 14010644.64406188, 7980309.53547487, True), (84, 14010644.61562452, 7980308.81147946, True), (86, 14010644.60588733, 7980308.31647469, True), (88, 14010644.57537352, 7980308.1972797, True), (90, 14010644.53820353, 7980307.88415482, True), (92, 14010644.52166296, 7980307.44870355, True), (94, 14010644.50898184, 7980306.74389296, True), (96, 14010644.48831407, 7980305.76872391, True), (98, 14010644.48635198, 7980305.81705849, True), (100, 14010644.484108, 7980305.51025763, True), (102, 14010644.46094518, 7980305.04636114, True), (104, 14010644.51185871, 7980304.41226551, True), (106, 14010644.52272425, 7980303.77169416, True), (108, 14010644.53859603, 7980303.19556062, True), (110, 14010644.52743528, 7980302.65723141, True), (112, 14010644.50395724, 7980302.02813461, True), (114, 14010644.52010091, 7980301.17429751, True), (116, 14010644.52196134, 7980299.22615768, True), (118, 14010644.50525257, 7980297.62452463, True)]",54,"[(True, 28)]",0.07547181,Photophobic,,,Photophobic
11,"[(210, 14010651.42249217, 7980287.09499888, False), (212, 14010651.39326872, 7980287.26162191, False), (214, 14010651.39160915, 7980287.61051429, False), (216, 14010651.39279957, 7980287.98034626, False), (218, 14010651.39407116, 7980288.34927148, False), (220, 14010651.40563017, 7980288.77546286, False), (222, 14010651.40338875, 7980289.04463279, False), (224, 14010651.43405578, 7980289.0216106, False), (226, 14010651.42052138, 7980289.19888888, False), (228, 14010651.38511988, 7980289.49019947, False), (230, 14010651.39359603, 7980289.64076982, False), (232, 14010651.37356794, 7980289.90387542, False), (234, 14010651.31459035, 7980290.17870379, False), (236, 14010651.29507681, 7980290.4121321, False), (238, 14010651.36630003, 7980290.34043354, False), (240, 14010651.36997183, 7980290.61324464, False), (242, 14010651.37189973, 7980291.11780669, False), (244, 14010651.4064221, 7980291.3798389, False), (246, 14010651.44948268, 7980291.6207635, False), (248, 14010651.49647806, 7980291.60944902, False), (250, 14010651.49421107, 7980291.65770568, False), (252, 14010651.47765246, 7980291.39075663, False), (254, 14010651.47912465, 7980291.27537356, False), (256, 14010651.4619642, 7980291.45599026, False), (258, 14010651.43627547, 7980291.77351064, False), (260, 14010651.4081, 7980292.1318942, False), (262, 14010651.38455914, 7980292.48658071, False), (264, 14010651.36421858, 7980292.8221852, False), (266, 14010651.36821857, 7980293.17487419, False), (268, 14010651.41833734, 7980293.35804411, False), (270, 14010651.4182626, 7980293.57847995, False), (272, 14010651.40226807, 7980293.84216901, False), (274, 14010651.38551708, 7980294.24077881, False), (276, 14010651.37210251, 7980294.48173405, False), (278, 14010651.37678928, 7980294.76798567, False), (280, 14010651.36844865, 7980295.04469076, False), (282, 14010651.3867284, 7980295.4885439, False), (284, 14010651.41751286, 7980296.00918765, False), (286, 14010651.45215611, 7980296.55241211, False), (288, 14010651.46137836, 7980297.09886497, False), (290, 14010651.42825724, 7980297.58524172, False), (292, 14010651.37809273, 7980298.0313674, False), (294, 14010651.30034224, 7980298.5024713, False), (296, 14010651.22003502, 7980298.90464405, False), (298, 14010651.13875083, 7980299.34100321, False), (300, 14010651.11639656, 7980299.86163642, False), (302, 14010651.33223176, 7980299.46590188, False), (304, 14010651.82993805, 7980297.8563333, False), (306, 14010652.07346577, 7980297.15993976, False)]",96,"[(False, 49)]",0.0904152199999999,Heliophile,,,Heliophile
12,"[(388, 14010650.70196812, 7980284.58482288, False), (390, 14010650.69425926, 7980284.80901818, False), (392, 14010650.69799288, 7980285.27659943, False), (394, 14010650.6742846, 7980286.08552936, False), (396, 14010650.66467145, 7980286.81306078, False), (398, 14010650.69291888, 7980287.39651593, False), (400, 14010650.74433354, 7980288.06768679, False), (402, 14010650.76372054, 7980288.70076138, False), (404, 14010650.79095136, 7980289.34498464, False), (406, 14010650.88124052, 7980289.54306156, False), (408, 14010650.87871239, 7980290.13858408, False), (410, 14010650.88980606, 7980290.76814629, False), (412, 14010650.88701258, 7980291.3478354, False), (414, 14010650.87925829, 7980291.88542386, False), (416, 14010650.90099511, 7980292.55720676, False), (418, 14010650.88572044, 7980293.30538118, False), (420, 14010650.89627242, 7980293.91043179, False), (422, 14010650.91026076, 7980294.62318776, False), (424, 14010650.94005553, 7980295.29157118, False), (426, 14010650.91183039, 7980295.82551749, False), (428, 14010650.92313632, 7980296.10219274, False), (430, 14010650.88649386, 7980296.72611669, False), (432, 14010650.85178707, 7980297.27518477, False), (434, 14010650.83313456, 7980297.95122457, False), (436, 14010650.83577358, 7980298.43529005, False), (438, 14010650.82551234, 7980299.02327729, False), (440, 14010650.90088258, 7980299.6201735, False), (442, 14010650.93038544, 7980300.24163635, False), (444, 14010650.95075159, 7980300.87680464, False), (446, 14010651.03192235, 7980301.37722802, False), (448, 14010651.07016008, 7980301.84994431, False), (450, 14010651.08857868, 7980302.24921121, False), (452, 14010651.14925129, 7980302.67534685, False), (454, 14010651.19611166, 7980303.19129922, False), (456, 14010651.29106838, 7980303.57263058, False), (458, 14010651.34150096, 7980303.91989751, False), (460, 14010651.49028882, 7980304.50396288, False), (462, 14010651.61405249, 7980305.15548174, False), (464, 14010651.76755322, 7980305.70936393, False), (466, 14010651.83080799, 7980306.27768652, False), (468, 14010651.81446643, 7980306.93222026, False), (470, 14010651.85497026, 7980307.38851379, False), (472, 14010651.87413162, 7980307.81011112, False), (474, 14010651.80659931, 7980308.41442043, False), (476, 14010651.81049068, 7980308.92409866, False), (478, 14010651.83613908, 7980309.38817356, False), (480, 14010651.87938292, 7980309.79594651, False), (482, 14010651.93011004, 7980310.24146491, False), (484, 14010652.49884585, 7980309.55925199, False), (486, 14010652.37601074, 7980310.4803604, False), (488, 14010652.21951365, 7980311.46231236, False), (490, 14010652.13982061, 7980312.23822921, False), (492, 14010652.09170299, 7980312.90824698, False), (494, 14010652.12162425, 7980313.45087505, False), (496, 14010652.15376744, 7980313.96152202, False), (498, 14010652.11159497, 7980314.57371441, False)]",110,"[(False, 56)]",0.09041522,Heliophile,,,Heliophile
13,"[(6, 14010649.24000958, 7980311.59745397, False), (8, 14010649.24000958, 7980311.59745397, False), (10, 14010649.24000958, 7980311.59745397, False), (12, 14010649.24000958, 7980311.59745397, False), (14, 14010649.24000958, 7980311.59745397, False), (16, 14010649.2459444, 7980311.60226612, False), (18, 14010649.25418241, 7980311.65727837, False), (20, 14010649.25109713, 7980311.81908316, False), (22, 14010649.25964731, 7980312.0360548, False), (24, 14010649.37971254, 7980312.34773387, False), (26, 14010649.50666224, 7980312.7192921, False), (28, 14010649.6313814, 7980313.24311597, False), (30, 14010649.82514984, 7980313.74614857, False), (32, 14010650.04153884, 7980314.18961106, False), (34, 14010650.14843565, 7980314.76876693, False)]",28,"[(False, 15)]",0.07547181,Heliophile,,,Heliophile
14,"[(6, 14010650.07446719, 7980311.71622895, False), (8, 14010650.10825646, 7980311.70897192, False), (10, 14010650.12025324, 7980311.6827411, False), (12, 14010650.11521291, 7980311.67151847, False), (14, 14010650.10526309, 7980311.68996782, False), (16, 14010650.10811367, 7980311.67926176, False), (18, 14010650.12695868, 7980311.68861285, False), (20, 14010650.13689928, 7980311.66934648, False), (22, 14010650.2208692, 7980311.70245128, False), (24, 14010650.33546021, 7980311.88401249, False), (26, 14010650.37279453, 7980312.31952854, False), (28, 14010650.42501811, 7980312.70253222, False), (30, 14010650.48602735, 7980313.22385625, False), (32, 14010650.54519682, 7980313.81149, False), (34, 14010650.61154756, 7980314.37673882, False), (36, 14010650.80708514, 7980314.85016829, False)]",30,"[(False, 16)]",0.07547181,Heliophile,,,Heliophile
15,"[(6, 14010646.00584689, 7980306.57458355, False), (8, 14010645.9979701, 7980306.51934078, False), (10, 14010646.00670314, 7980306.1057336, False), (12, 14010646.00013418, 7980306.25445738, False), (14, 14010645.95480617, 7980306.02215556, False), (16, 14010645.96050542, 7980306.10214583, False), (18, 14010645.96164731, 7980306.32812425, False), (20, 14010645.98561671, 7980306.48957362, False), (22, 14010645.98893734, 7980306.54128112, False), (24, 14010645.98893168, 7980306.54529356, False), (26, 14010645.97659862, 7980306.45429567, False), (28, 14010645.96536486, 7980306.47020017, False), (30, 14010645.91707725, 7980306.12526367, False), (32, 14010645.87448477, 7980306.02037668, False), (34, 14010645.8692252, 7980305.86425611, False), (36, 14010645.91080083, 7980306.1335987, False), (38, 14010645.94177268, 7980306.39071984, False), (40, 14010645.96248836, 7980306.50594677, False), (42, 14010645.92918311, 7980306.36001556, False), (44, 14010645.89663601, 7980306.22473476, False), (46, 14010645.91435606, 7980306.33169263, False), (48, 14010645.93683356, 7980306.47008032, False), (50, 14010645.96616699, 7980306.5128717, False), (52, 14010645.97533444, 7980306.55245293, False), (54, 14010645.9846515, 7980306.56854604, False), (56, 14010645.97848016, 7980306.56098722, False), (58, 14010645.97384776, 7980306.55251259, False), (60, 14010645.96472971, 7980306.54088244, False), (62, 14010645.95413955, 7980306.52942849, False), (64, 14010645.94350571, 7980306.51910126, False), (66, 14010645.93327727, 7980306.50979673, False), (68, 14010645.92344931, 7980306.50112682, False), (70, 14010645.91797154, 7980306.53057999, False), (72, 14010645.94915485, 7980306.17012474, False), (74, 14010645.99672022, 7980305.62903468, False), (76, 14010646.04879826, 7980305.03383336, False), (78, 14010646.24032618, 7980304.57601711, False), (80, 14010646.38939473, 7980305.32753637, False), (82, 14010646.4762166, 7980305.92200365, False), (84, 14010646.52579514, 7980306.05193565, False), (86, 14010646.55532547, 7980306.002413, False), (88, 14010646.55403002, 7980305.78842834, False), (90, 14010646.53704958, 7980304.6964009, False), (92, 14010646.5571816, 7980304.28144241, False), (94, 14010646.57200908, 7980304.01350875, False), (96, 14010646.61380441, 7980302.93938566, False), (98, 14010646.65198514, 7980302.28074443, False), (100, 14010646.67674398, 7980302.30302672, False), (102, 14010646.69683606, 7980302.38347189, False), (104, 14010646.75629653, 7980302.12319394, False), (106, 14010646.84689108, 7980301.88639534, False), (108, 14010646.92070334, 7980301.7435733, False), (110, 14010646.95401928, 7980301.72169006, False), (112, 14010646.95854985, 7980301.73893565, False), (114, 14010646.95275834, 7980301.7620547, False), (116, 14010646.94095501, 7980301.82674607, False), (118, 14010646.92415016, 7980301.84719576, False), (120, 14010646.90197858, 7980301.88954568, False), (122, 14010646.86423522, 7980301.97921482, False), (124, 14010646.82530795, 7980302.0415298, False), (126, 14010646.80740385, 7980302.21067944, False), (128, 14010646.79508454, 7980302.37037362, False), (130, 14010646.77868123, 7980302.35951341, False), (132, 14010646.71279168, 7980302.42095063, False), (134, 14010646.5907976, 7980302.78287951, False), (136, 14010646.48307838, 7980302.78182103, False), (138, 14010646.35812254, 7980303.17957694, False), (140, 14010646.25294403, 7980304.2000361, False), (142, 14010646.12630205, 7980304.61794333, False), (144, 14010646.05520267, 7980304.84651294, False), (146, 14010645.93238494, 7980306.1454582, False), (148, 14010645.78801187, 7980306.89139699, False), (150, 14010645.67693784, 7980307.49827907, True), (152, 14010645.63146338, 7980307.97639392, True), (154, 14010645.61726979, 7980308.59300906, True), (156, 14010645.62338242, 7980309.31423793, True), (158, 14010645.63530786, 7980310.11300935, True), (160, 14010645.64894607, 7980310.76435301, True), (162, 14010645.68136818, 7980311.39147312, True), (164, 14010645.70443534, 7980312.21445201, True), (166, 14010645.72018678, 7980313.06488191, True), (168, 14010645.76669611, 7980313.74652487, True), (170, 14010645.79679379, 7980314.40725122, True)]",164,"[(False, 72), (True, 11)]",0.07547181,,Shade-chaser,,Shade-chaser
16,"[(22, 14010650.48833444, 7980303.30486906, False), (24, 14010650.72647046, 7980301.98408777, False), (26, 14010650.93959207, 7980301.1615556, False), (28, 14010650.99797927, 7980300.55478348, False), (30, 14010650.9966116, 7980300.02065687, False), (32, 14010651.00001053, 7980299.44729572, False), (34, 14010650.9737367, 7980299.09923188, False), (36, 14010650.89154501, 7980298.54468397, False), (38, 14010650.81509504, 7980297.89695361, False), (40, 14010650.75214964, 7980297.28877169, False), (42, 14010650.6864954, 7980296.67999755, False), (44, 14010650.67288014, 7980295.85244158, False), (46, 14010650.6314897, 7980295.01235297, False), (48, 14010650.51516276, 7980294.38258941, False), (50, 14010650.39961696, 7980293.79986001, False), (52, 14010650.32288205, 7980293.26664408, False), (54, 14010650.23313677, 7980292.57336501, False), (56, 14010650.16950224, 7980291.83232371, False), (58, 14010650.14141123, 7980291.09633108, False), (60, 14010650.11152047, 7980290.45100112, False), (62, 14010650.07913463, 7980289.71293922, False), (64, 14010650.0531528, 7980289.05597824, False), (66, 14010650.0288957, 7980288.42722621, False), (68, 14010650.04464862, 7980287.86295938, False), (70, 14010650.07871114, 7980287.31339768, False), (72, 14010650.07986797, 7980286.53366093, False), (74, 14010650.10510601, 7980285.69419801, False), (76, 14010650.13645174, 7980285.13342579, False), (78, 14010650.11487047, 7980284.44018447, False), (80, 14010650.08172934, 7980283.67907671, False), (82, 14010650.03972454, 7980283.2114231, False), (84, 14010649.9866978, 7980282.50553419, False), (86, 14010649.97923791, 7980281.55753237, False), (88, 14010650.02346316, 7980280.72843725, False), (90, 14010650.05774837, 7980279.8963153, False), (92, 14010650.09905327, 7980279.07839632, False), (94, 14010650.12211248, 7980278.42256582, False), (96, 14010650.10577375, 7980277.54698818, False), (98, 14010650.06388468, 7980276.97218931, False), (100, 14010650.05507135, 7980276.16606363, False), (102, 14010650.1446878, 7980274.89336191, False), (104, 14010650.20121145, 7980273.69585377, False), (106, 14010650.15265076, 7980272.88807267, False), (108, 14010650.01246425, 7980272.43697609, False), (110, 14010649.88021982, 7980271.68282594, False), (112, 14010649.72095178, 7980270.63749389, False)]",90,"[(False, 46)]",0.0754718099999999,Heliophile,,,Heliophile
20,"[(302, 14010645.1669594, 7980314.67334841, True), (304, 14010645.28995918, 7980314.23708067, True), (306, 14010645.39512318, 7980313.60392798, True), (308, 14010645.45524908, 7980312.99426879, True), (310, 14010645.4678972, 7980312.40034668, True), (312, 14010645.41959352, 7980311.62556983, True), (314, 14010645.38417275, 7980310.94917784, True), (316, 14010645.33925893, 7980310.30850863, True), (318, 14010645.28581815, 7980309.59954949, True), (320, 14010645.26355604, 7980309.15094521, True), (322, 14010645.25814505, 7980308.49621595, True), (324, 14010645.25536944, 7980307.91331286, True), (326, 14010645.28051811, 7980307.4345618, True), (328, 14010645.30961185, 7980306.81979303, True), (330, 14010645.38785937, 7980306.34819448, True), (332, 14010645.39899431, 7980305.78524661, True), (334, 14010645.3860444, 7980305.08260609, True), (336, 14010645.35711239, 7980304.43749617, True), (338, 14010645.2872883, 7980303.73321264, True), (340, 14010645.24014951, 7980303.1907158, True), (342, 14010645.18417658, 7980302.50843656, True), (344, 14010645.14424936, 7980301.69190128, True), (346, 14010645.06585196, 7980301.19809405, True), (348, 14010645.03985092, 7980300.9853619, True), (350, 14010645.03565584, 7980300.66775278, True), (352, 14010645.1158408, 7980300.28837791, True), (354, 14010645.21212151, 7980299.84017486, True), (356, 14010645.27846535, 7980299.25606141, True), (358, 14010645.31367529, 7980298.64281525, True), (360, 14010645.35821442, 7980298.03885669, True), (362, 14010645.38476429, 7980297.46887527, True), (364, 14010645.37024755, 7980296.79436988, False), (366, 14010645.35003446, 7980296.06226186, False), (368, 14010645.34586854, 7980295.22826999, False), (370, 14010645.34420738, 7980294.54988985, False), (372, 14010645.34365765, 7980293.95427045, False), (374, 14010645.37012334, 7980293.40330331, False), (376, 14010645.38791428, 7980292.64282406, False), (378, 14010645.28888918, 7980292.06724656, False), (380, 14010645.26536035, 7980291.56690739, False), (382, 14010645.2477247, 7980290.83510121, False), (384, 14010645.31140002, 7980290.28864934, False), (386, 14010645.41098259, 7980289.83941266, False), (388, 14010645.52016633, 7980289.42673594, False), (390, 14010645.62761483, 7980289.0194533, False), (392, 14010645.69395694, 7980288.50073904, False), (394, 14010645.7519808, 7980288.04769871, False), (396, 14010645.82243077, 7980287.28254348, False), (398, 14010645.87771381, 7980286.55925959, False), (400, 14010645.99361948, 7980284.17258523, False), (402, 14010646.11724279, 7980281.62562592, False), (404, 14010646.16609847, 7980280.54474129, False), (406, 14010646.23326516, 7980279.8005165, False), (408, 14010646.41723869, 7980279.47320986, False), (410, 14010646.54900102, 7980279.07490346, False), (412, 14010646.55755253, 7980278.40192322, False), (414, 14010646.54168262, 7980278.18160859, False), (416, 14010646.52702829, 7980278.54726409, False), (418, 14010646.56621727, 7980278.12972159, False), (420, 14010646.56447725, 7980277.90909578, False), (422, 14010646.51952002, 7980277.38521266, False), (424, 14010646.53247118, 7980276.85523456, False), (426, 14010646.46822188, 7980275.93049545, False), (428, 14010646.46332326, 7980275.00030234, False)]",126,"[(True, 31), (False, 33)]",0.09041522,,Sun-chaser,,Sun-chaser
27,"[(340, 14010646.39721515, 7980314.96301211, False), (342, 14010646.26220326, 7980314.34578724, True), (344, 14010646.0781067, 7980313.78488811, True), (346, 14010645.98520331, 7980313.14232274, True), (348, 14010645.91655431, 7980312.38921054, True), (350, 14010645.83467362, 7980311.80344615, True), (352, 14010645.81824673, 7980311.1579941, True), (354, 14010645.8076562, 7980310.53240184, True), (356, 14010645.78008343, 7980309.94793936, True), (358, 14010645.7791976, 7980309.335474, True), (360, 14010645.76427585, 7980308.70823366, True), (362, 14010645.74250436, 7980308.22067734, True), (364, 14010645.73909227, 7980307.59189578, True), (366, 14010645.74517758, 7980307.20675142, True), (368, 14010645.78768932, 7980306.83197947, False), (370, 14010645.7839084, 7980306.20399157, False), (372, 14010645.74746587, 7980305.36901899, False), (374, 14010645.70852226, 7980304.6597223, False), (376, 14010645.69391426, 7980303.94753245, False), (378, 14010645.66855509, 7980303.09134079, False), (380, 14010645.66036041, 7980302.43610157, False), (382, 14010645.6847876, 7980302.18550183, False), (384, 14010645.71230319, 7980301.54877637, False), (386, 14010645.7891505, 7980301.13966747, False), (388, 14010645.85410892, 7980300.85937197, False), (390, 14010645.82998023, 7980300.256868, False), (392, 14010645.822469, 7980299.82332105, False), (394, 14010645.81318462, 7980299.34129365, False), (396, 14010645.76294449, 7980298.70927485, False), (398, 14010645.71894855, 7980297.95096457, False), (400, 14010645.66240363, 7980297.50869659, False), (402, 14010645.59744721, 7980297.01232775, False), (404, 14010645.58631956, 7980296.60105348, False), (406, 14010645.60747459, 7980296.07751699, False), (408, 14010645.57798325, 7980295.40096156, False), (410, 14010645.58043411, 7980294.79271523, False), (412, 14010645.58674946, 7980294.20031562, False), (414, 14010645.59337565, 7980293.60249355, False), (416, 14010645.62939583, 7980292.93700188, False), (418, 14010645.65559517, 7980292.09477752, False), (420, 14010645.67175389, 7980291.23808169, False), (422, 14010645.70075432, 7980290.69501967, False), (424, 14010645.72989808, 7980290.08119075, False), (426, 14010645.72952714, 7980289.35477845, False), (428, 14010645.734038, 7980288.4634947, False), (430, 14010645.83113397, 7980287.95382678, False), (432, 14010645.97108554, 7980287.63385671, False), (434, 14010646.12921857, 7980287.13278335, False), (436, 14010646.17157632, 7980286.57819626, False), (438, 14010646.1669202, 7980285.74231398, False), (440, 14010646.19048565, 7980284.96022188, False), (442, 14010646.17955846, 7980284.26299777, False), (444, 14010646.19315444, 7980283.5171443, False), (446, 14010646.21587921, 7980282.86862079, False), (448, 14010646.24933268, 7980282.10997816, False), (450, 14010646.31625117, 7980281.48431688, False), (452, 14010646.38088469, 7980280.88437583, False), (454, 14010646.40651222, 7980280.21432752, False), (456, 14010646.39482361, 7980279.4588121, False), (458, 14010646.40496404, 7980278.71567734, False), (460, 14010646.41090139, 7980277.93663063, False), (462, 14010646.39625209, 7980277.09098628, False), (464, 14010646.39161586, 7980276.23504312, False), (466, 14010646.37805889, 7980275.74244054, False), (468, 14010646.40358363, 7980274.87488151, False), (470, 14010646.42864955, 7980273.7373751, False), (472, 14010646.33984361, 7980272.68201807, False), (474, 14010646.19787391, 7980271.6925485, False), (476, 14010646.1178092, 7980270.63567994, False), (478, 14010646.05139126, 7980270.2163736, False)]",138,"[(False, 1), (True, 13), (False, 56)]",0.0904152199999999,,,Sun-chaser,Sun-chaser
